Movie_Title,ListOfCertificate
Cloak & Dagger,PG
Black Water,R
As Far as My Feet Will Carry Me,"TV-G,TV-PG"
Wicked City,TV-MA
Mad Detective,
Vampires: Los Muertos,R
Delta Force 2: The Colombian Connection,R
Sentinelle,TV-MA
"Ruben Brandt, Collector",R
Starcrash,PG
Dragon Ball Z: Cooler's Revenge,TV-PG
Last Man Down,R
The Brawler,
The Protector 2,R
Murder 2,
Evangelion: 3.0+1.01 Thrice Upon a Time,TV-MA
Vedalam,
You May Not Kiss the Bride,PG-13
A Chinese Odyssey: Part 2 - Cinderella,
Simon Sez,PG-13
The Berlin File,
Kambakkht Ishq,
The Last King,R
The Debt Collector,
A Gentleman,
Yes Sir,
Five Deadly Venoms,R
White Sun of the Desert,
Reprisal,R
Space Mutiny,
The Heroes of Telemark,Approved
Hunt to Kill,R
See No Evil 2,R
Repeaters,
Vigilante Diaries,R
Flood,TV-14
All the Way Boys,PG
Road to Ninja - Naruto the Movie,TV-14
An Innocent Man,R
Injustice,R
Total Dhamaal,
Game of Death,R
Animal,
McHale's Navy,PG
Line of Duty,R
Dirty Mary Crazy Larry,PG
Shootout at Wadala,
The Devil's Tomb,R
Captive,"PG-13,TV-14"
Perrier's Bounty,R
Mission Kashmir,R
The Blue Max,Approved
Pound of Flesh,R
Beyond Outrage,R
Our Man Flint,TV-PG
Unknown Origins,TV-MA
Tag,
City on Fire,R
Red Zone Cuba,
Naruto the Movie: Ninja Clash in the Land of Snow,"TV-PG,TV-14"
The Glass Agency,
The Stronghold,TV-MA
I Am a Hero,TV-MA
Another World,
Naam Shabana,TV-14
Singam,
55 Days at Peking,TV-PG
The Toxic Avenger Part II,R
Singam 2,
Chasers,"R,TV-14"
Midnight Runners,TV-MA
The Last Ottoman: Knockout Ali,
Veteran,
Seoul Station,
Trancers,PG-13
The Crimson Pirate,Approved
Avane Srimannarayana,
Constantine: City of Demons - The Movie,R
The Hatton Garden Job,R
Daughter of the Wolf,R
El Gringo,R
The Ballad of Lefty Brown,R
Shooting Heroin,R
Tromeo and Juliet,R
Behzat Ç. Ankara Yaniyor,
Godzilla vs. Destoroyah,"TV-G,TV-PG"
Robot Jox,PG
Mutant Blast,
Reclaim,R
Arthur & Merlin: Knights of Camelot,
First Love,TV-MA
Nitro Circus: The Movie,PG-13
Betrayed,
Cut Off,
Khiladiyon Ka Khiladi,
The Outlaws,
Boiling Point,R
The Sword and the Sorcerer,R
Pokémon Heroes,G
King Kong Lives,PG-13
Drive,R
A Touch of Zen,
A Dark Truth,R
The Suspect,
Police,
Most Wanted,R
Dolemite,R
Chekka Chivantha Vaanam,
Warlock: The Armageddon,R
Gangster,
Raze,R
Lone Wolf and Cub: Baby Cart at the River Styx,
Landmine Goes Click,TV-MA
Kaakha..Kaakha: The Police,
Running Out of Time,
Underclassman,PG-13
Darbar,
Torrente 3: El protector,
3 Ninjas: Knuckle Up,PG-13
Crooks in Clover,
Thaanaa Serndha Koottam,
Dark Blue World,"R,TV-MA"
Never Die Alone,R
Virumandi,
The Operative,TV-MA
Spacehunter: Adventures in the Forbidden Zone,PG
The High and the Mighty,Approved
Detour,R
Unit 7,
Godzilla vs. Megalon,G
R... Rajkumar,
In Like Flint,
Romeo Akbar Walter,
Jai Lava Kusa,
Daylight's End,
Feral,
Perfect Creature,R
Ko,
Ayirathil Oruvan,
Azumi 2: Death or Love,
Officer Down,R
Rammbock: Berlin Undead,R
12 Rounds 2: Reloaded,R
Let It Ride,PG-13
The Backwoods,R
Sinners and Saints,R
Hellfighters,"TV-PG,G"
Dragon Ball Z: Lord Slug,TV-PG
The Restaurant,
Victor Crowley,
Surf Nazis Must Die,R
Green Street 3: Never Back Down,R
Abbott and Costello Meet the Mummy,"Approved,Passed"
The Deep,
Attack on Titan: Chronicle,
The Tiger,
Le Magnifique,
Force 2,
Sarrainodu,
Breaking News,TV-14
Downrange,
Uppercut,
Black Water: Abyss,
Rogue Warrior: Robot Fighter,
Flashback,R
Yeom-lyeok,TV-MA
Murphy's Law,R
The Devil's Brigade,Approved
71: Into the Fire,
Battle for Incheon: Operation Chromite,
Juggernaut,PG
The Defender,R
End Game,R
Pyaar Kiya To Darna Kya,
The Hunted,R
Pathfinder,
Beyond Rangoon,R
22 Shey Shraban,
Hitman,R
Coolie No. 1,
Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7
Hanover Street,PG
Maanagaram,
The Chaperone,PG-13
Two Rabbits,TV-MA
The Guyver,PG-13
Tribal Get Out Alive,
Imaikkaa Nodigal,
Steel Rain,TV-MA
The Seven-Ups,PG
Bite the Bullet,"PG,TV-PG"
Commando,
Kickboxer: Retaliation,R
God of Gamblers,R
Bloody Hell,R
Escape to Athena,PG
Scorched Earth,R
Killing Cabos,R
On the Other Side of the Tracks,R
Wolf Warrior,
Iron Eagle II,PG
"Fear, Inc.",R
Mountain Patrol,PG-13
Unstoppable,R
The Attacks of 26/11,
Kebab Connection,
Torrente 4,
Killers,
Sinbad: The Fifth Voyage,PG-13
The Twins Effect,R
Close Range,TV-MA
Tarzan and His Mate,"Approved,Passed"
North Sea Hijack,PG
One 2 Ka 4,
A Prayer for the Dying,R
Fabricated City,
Sand Sharks,R
Kochadaiiyaan,
Gallipoli: End of the Road,
The Return of Swamp Thing,PG-13
Deewane Huye Paagal,
Checkered Ninja,
Blue,
Vanguard,PG-13
Range 15,TV-MA
The Desert Rats,"Approved,TV-PG"
Four Days in September,R
Dragon Ball Z: Bio-Broly,TV-PG
Moontrap: Target Earth,
Flying Leathernecks,Approved
"Truth or Consequences, N.M.",R
Above Suspicion,R
Patlabor: The Movie,
American Ninja 4: The Annihilation,R
Rapa Nui,R
Kill Me Again,R
Skinning,
In the Name of the King: Two Worlds,R
Diablo,R
Lone Wolf and Cub: Baby Cart to Hades,"R,TV-MA"
Baadshaho,TV-MA
The Dead Lands,R
D.C. Cab,"R,TV-14"
Loose Cannons,R
Valley of the Wolves: Gladio,
Godzilla vs. Mothra,"TV-G,TV-PG"
Psy,
Kick,
Offender,
The Great Battle,
Young Detective Dee: Rise of the Sea Dragon,
NGK,
The Traveler,R
Bad Boys,
Godzilla vs. SpaceGodzilla,"TV-G,TV-PG,TV-14"
Butterfly,
Tuff Turf,R
Minotaur,R
One in the Chamber,R
Godzilla: City on the Edge of Battle,TV-14
Godzilla vs. Gigan,"PG,G"
Into the Ashes,
Aaranya Kaandam,
War,R
The Eight Hundred,
Heart of Dragon,R
Army of One,
Operation Mekong,
Boone: The Bounty Hunter,TV-14
Godzilla Against MechaGodzilla,"TV-PG,TV-14"
Aiyaary,TV-14
Gundala,TV-14
Izo,
Cold War,R
Cannonball!,PG
Secret Agents,
Abduction,
Solis,
Viking,
Rangoon,TV-14
Day of Anger,M
Suvarna Sundari,
Apaharan,
Robin Hood: The Rebellion,
Tiger House,R
Mela,
Mirchi,
Ayitha Ezhuthu,
Solarbabies,PG-13
The Seven Deadly Sins: Prisoners of the Sky,
Age of the Dragons,PG-13
Pride and Honour,
Chillerama,
Crossbreed,
The Yin-Yang Master: Dream of Eternity,PG-13
The Burnt Orange Heresy,R
The Pumaman,
Mean Guns,R
The Protector,R
Kammatti Paadam,
800 Bullets,R
Alien Hunter,R
Sky Fighters,
Turetskiy gambit,
Project Gutenberg,
Naruto Shippuden: The Movie - Bonds,TV-14
Hard Ticket to Hawaii,R
Midnight in the Switchgrass,R
Massu Engira Masilamani,
Full Contact,R
Phantasm: Ravager,
Tank,PG
Shank,
Hardwired,R
The King of Fighters,
Gator,PG
Godzilla: Tokyo S.O.S.,"PG,TV-Y7"
Cingoz Recai,
Darc,TV-MA
Turn the Other Cheek,PG
Jesus Christ Vampire Hunter,R
Baadshah,
The White Buffalo,PG
Swordsman II,R
Felidae,TV-MA
All Through the Night,Approved
Naanum Rowdy Thaan,
Dirty Sanchez: The Movie,R
12 Rounds 3: Lockdown,R
Spy Time,
Real Men,PG-13
Danger One,
Battle of the Warriors,R
Schutzengel,
Black,
Special ID,R
Thrashin',PG-13
Hello Brother,
Higher Power,R
City Hunter,
Return of the Seven,TV-PG
High Risk,R
Ashfall,TV-MA
Eliminators,R
Kuruvi,
Thirupaachi,
Dolph Lundgren Is the Killing Machine,R
Gymkata,R
Naam Hai Akira,
Trollhunters: Rise of the Titans,TV-Y7
Kill Dil,
Pataakha,
Sons of Rizk,
Hind Ka Napak Ko Jawab,
Bon Cop Bad Cop 2,
Fiza,
Lone Wolf and Cub: Baby Cart in the Land of Demons,
The Perfect Weapon,R
The Major,
Resident Evil: Welcome to Raccoon City,R
Bleach: Memories of Nobody,TV-14
The Reunion,PG-13
Northwest,
Man on the Roof,R
Maniac Cop 3: Badge of Silence,R
Torrente 5,
HIT,
Kill Buljo: The Movie,R
Apoorva Sagodharargal,
The Evil That Men Do,"R,TV-14"
Battle of the Damned,R
The Hitman,R
Kali,
Reptilicus,"Approved,Passed"
Yuvarathnaa,
Supercop 2,R
Destruction Los Angeles,TV-14
The Princess of Montpensier,"TV-PG,TV-14"
Night Passage,"Approved,TV-PG,Passed"
Bullett Raja,
Wildheart: Hell of Boomerang,
Conspiracy,R
Tracker,R
Vendetta,
The Thief and the Cobbler,G
Lost in the Sun,
Silent Trigger,R
Backtrace,R
Game of Assassins,R
An Hour to Kill,
George and the Dragon,"PG,R"
Morituri,Approved
9/11,R
R.A.I.D. Special Unit,
Return to the 36th Chamber,R
Raavanan,
Big Legend,
Hero and the Terror,R
Red Shoes and the Seven Dwarfs,PG
Dragon Lord,PG-13
Left Behind III: World at War,PG-13
Antidote,
Naruto Shippûden: The Movie,"TV-PG,TV-14"
We Die Young,R
The Huntress: Rune of the Dead,TV-MA
Two-Minute Warning,"Approved,R"
Raining Hell,
Panjaa,
Flying Tigers,"Approved,TV-PG,Passed"
Johan Falk: GSI - Gruppen för särskilda insatser,
The Knock Out Cop,PG
The Line,R
Gunless,
The Hard Word,"R,TV-MA"
Zero Tolerance,
Mr. Six,PG-13
Inside Man: Most Wanted,R
Ramaiya Vastavaiya,
Narappa,
The Third Wave,
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,
Big Man Japan,"R,PG-13"
Vampire Girl vs. Frankenstein Girl,TV-MA
Oppam,
Uno sceriffo extraterrestre... poco extra e molto terrestre,
Africa Screams,"TV-G,Approved,Passed"
Demetrius and the Gladiators,Approved
Coldblooded,R
The Blade Master,PG
The Assault,R
Megaforce,PG
Odiyan,
Low Heights,
Too Late the Hero,"PG,GP"
Iceman,R
Gunmen,"R,TV-14"
Clubbed,
Lazer Team 2,
Royal Tramp,R
Free Man,
Madhuraraja,
Turkey Shoot,R
Shiva,
Ski Patrol,PG
Killer Bean Forever,TV-PG
Trouble Is My Business,
Stasis,
To Your Last Death,
Fat Pizza,
Uppena,TV-14
Knights of the Round Table,Approved
Oosaravelli,
Superlopez,
Hellbound,"R,TV-14"
Last Seen in Idaho,
The Ambulance,R
Top Dog,"PG-13,TV-14"
Primal Rage: The Legend of Konga,R
A Chinese Ghost Story II,
Kills On Wheels,
Too Fat Too Furious,
Garden of Evil,"Approved,TV-PG"
Queen of the Mountains,PG-13
Jazbaa,
Vigilante,R
Volcano High,PG-13
Bastards,
Vendetta,R
SAGA: Curse of the Shadow,PG-13
Tai Chi 2: The Hero Rises,
Angel,R
White Snake,
Gang Leader,
1990: The Bronx Warriors,R
Alien Warfare,
Things Are Tough All Over,R
Revenge of the Musketeers,R
Commando 2,
Anegan,
2009: Lost Memories,R
The Island,
Dead Fish,R
1942: A Love Story,
Kundo: Age of the Rampant,TV-MA
War Pigs,R
Mirageman,R
Tokyo Fist,"TV-PG,TV-14"
Switch,
Black Caesar,"R,TV-MA"
Naruto Shippûden: The Lost Tower,"TV-PG,TV-14"
R.O.T.O.R.,TV-14
Slipstream,R
Beyond the Mask,PG
Inside Men,TV-MA
The Coast Guard,R
Humraaz,
The Blade,
The Gamers: Dorkness Rising,PG
Shool,
Kickboxer 3: The Art of War,R
The Final Option,R
The Pirates,
A Better Tomorrow III: Love and Death in Saigon,R
Assassination,PG-13
Deportees 2,
Tarzan's New York Adventure,"Approved,Passed"
Breaker! Breaker!,PG
The Dawnseeker,
Desert Saints,R
"Farewell, Friend",M/PG
Air Force,"Approved,Passed,TV-G"
The Lovers,R
Assassin's Bullet,R
Raajakumara,
The Lost Patrol,"Approved,TV-PG,Passed"
Paradox,TV-MA
The Nude Bomb,PG
My Wife Is a Gangster,
Zombie Lake,
Beastmaster 2: Through the Portal of Time,PG-13
Love on Delivery,"TV-14,TV-MA"
Piedone d'Egitto,
The Appaloosa,"Approved,TV-PG,Passed"
Bhoomi,TV-PG
Wing Chun,TV-14
Tevar,
Absolon,R
Anirudh,
Savage Dog,TV-14
The Silencers,"Approved,TV-PG"
Flatfoot in Hong Kong,
Born a Champion,R
Toro,PG-13
Kanche,
Sex & Fury,R
Kinjite: Forbidden Subjects,R
Warriors of Virtue,PG
Mega Shark vs. Mecha Shark,
Five Fingers of Death,R
Werner - Das muss kesseln!!!,
Dial 100,
Omerta,
Rise of the Zombies,TV-14
Beyond the Edge,
Fortress,TV-MA
Ramayana: The Legend of Prince Rama,PG
The Monster Project,
Castle Keep,R
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,PG-13
The Legend of Awesomest Maximus,R
Rampage: President Down,
Swelter,R
Dead Mine,
The Hard Way,
Legacy of Lies,R
The Fourth Angel,R
Asher,R
Ibrahim Labyad,R
Sivakaasi,
Pitbull: New Orders,
Bloodsport 2,R
All Girls Weekend,
Rembrandt,
Let's Do It Again,"PG,TV-PG"
Golgo 13: The Professional,
The Legend of Gobi,
Taras Bulba,
The Adventurers,
Full Speed,
Kokoda: 39th Battalion,PG-13
Malone,R
Deathstroke Knights & Dragons: The Movie,R
The Taking of Tiger Mountain,
Dunkirk,Approved
Crying Fist,
Taarzan: The Wonder Car,
Shaft's Big Score!,R
Dark of the Sun,"Approved,PG"
Rudhramadevi,
Muthu,
The Lusty Men,"Approved,Passed"
Running on Karma,
Happy,
The Black Windmill,PG
Arachnid,R
Tarzan's Secret Treasure,"Approved,Passed"
Double Down,
The Siege of Firebase Gloria,R
The Perils of Gwendoline in the Land of the Yik Yak,R
Cleopatra Jones,PG
Leak,
Band of the Hand,R
Le Marginal,
Sniper: Special Ops,R
Truck Turner,R
Bichhoo,
The Phantom Planet,TV-G
Dragon Age: Dawn of the Seeker,TV-MA
Mythica: The Necromancer,
Bleach the Movie 2: The Diamond Dust Rebellion,TV-14
Bumperkleef,
Gun Shy,R
The Wild Angels,R
The Eight Diagram Pole Fighter,
Blue Iguana,
They Call Me Renegade,PG
Outrage Coda,
Unbeatable,
Archenemy,
All the Devil's Men,R
He-Man and She-Ra: The Secret of the Sword,G
Genius,
The Magnificent Seven Ride!,"PG,TV-PG"
13 Rue Madeleine,Approved
Kill!,
English Dogs,
Cameraman Gangatho Rambabu,
Farewell to the King,PG-13
Freebie and the Bean,R
Rudra Thandavam,
Monga,
Survive the Game,R
Beyond the Law,
Prasthanam,
Jawbone,R
Deathstalker II,R
Eat Locals,TV-MA
On the Job,TV-MA
Wind,PG-13
The Gene Generation,R
Shaan,
The Lookout,
Begum Jaan,
The Count of Monte Cristo,"Approved,Passed"
The War of the Gargantuas,"TV-Y7,G"
The Pride and the Passion,
When Time Ran Out...,PG
A Violent Prosecutor,
Rebellion,
Terra Formars,
The Master,R
Cold War 2,
ZG80,
Invasion of the Neptune Men,
Bridge of Dragons,R
I Declare War,
Megiddo: The Omega Code 2,PG-13
Ghost in the Shell Arise: Border 3 - Ghost Tears,TV-MA
All the Queen's Men,PG-13
Stiletto,R
War of the Dead,
Zombie Hunter,
"Justice, My Foot!",PG-13
Luck,
Detention of the Dead,
Violent City,R
Warriors of the Wasteland,R
The Last Warrior,TV-PG
Animal,
Ironclad: Battle for Blood,
Rough Cut,
Kizumonogatari Part 1: Tekketsu,
Halls of Montezuma,"Approved,TV-PG"
Maari 2,
Men in War,"Approved,TV-PG"
Sky Hunter,
Grand Theft Auto,PG
Operation Corned Beef,
Traded,
Out Live,TV-MA
BoBoiBoy: The Movie,TV-G
The New Centurions,R
The Last Heist,TV-MA
Midnight FM,
Royal Tramp II,R
Half a Chance,
Double Identity,R
The Jurassic Games,
Ice Soldiers,R
"Django, Prepare a Coffin",
Wake of the Red Witch,"Approved,TV-PG,Passed"
The Ghoul,
North Shore,PG
River Queen,R
Blubberella,R
Trimurti: Bond of Three,
Mamangam,
The Big Doll House,R
Hanky Panky,PG
Kodi,
Lajja,
Bal-Can-Can,
The Lady Vanishes,PG
The Twins Effect II,
Ram Lakhan,
RoboGeisha,TV-MA
The Star,
China Seas,"Approved,Passed,TV-G"
The Timber,
Box 507,
Cold Sweat,PG
The Return of the God of Gamblers,
The Legend of Drona,
Sadak,
Escape from the Bronx,R
The Falling,
Namak Halaal,
Paintball,
Cop or Hood,PG
Redbad,
The Scorpion King: Book of Souls,PG-13
The Big Bird Cage,R
American Yakuza,R
Nightmare Detective,
Fight Back to School II,
Black Rose,TV-MA
Hebbuli,
Dog Bite Dog,
Knockout,PG
Dangerous Game,
The Young Savages,
The Fighter Pilot,
Aap Mujhe Achche Lagne Lage,
My Name Is Modesty: A Modesty Blaise Adventure,R
Walter Defends Sarajevo,
American Soldiers,R
Disturbing the Peace,R
Saints and Soldiers: The Void,PG-13
Ground Control,PG-13
Sara,
Torpedo,
"Ator, the Fighting Eagle",PG
Winnetou: The Last Shot,"Approved,Passed"
Damn the Defiant!,"Approved,TV-PG"
Memorial Day,R
After Death,
The White Storm,R
V2: Dead Angel,
Dheena,
The Zero Boys,
The Enchanted,
Hunter X Hunter: Phantom Rouge,TV-14
Tarzan and the Amazons,"Approved,TV-PG,Passed"
Gamera vs. Barugon,
Kadaikutty Singam,
Saladin,TV-MA
Age of Dinosaurs,
Ekipazh,PG-13
Gentleman,
Dragonheart: Battle for the Heartfire,PG-13
Vettai,
A Warrior's Heart,PG
Baazi,
Black Ops,
Pterodactyl,
The Dark Side of the Moon,R
Lassiter,R
The Take,R
A Common Man,PG-13
Daffy Duck's Quackbusters,G
Naan Mahaan Alla,
The Yinyang Master,
The Specials,R
Pokémon: Giratina and the Sky Warrior,
My Girlfriend Is an Agent,
Jet Pilot,"Approved,TV-PG,G"
The Burglars,PG
Flash Gordon,"Approved,Passed"
Crack in the World,Approved
Kaala Patthar,
From a Whisper to a Scream,R
Gintama Live Action the Movie,
Kizumonogatari Part 2: Nekketsu,
Zombies Have Fallen,
Bleach the Movie: Hell Verse,"TV-MA,TV-14"
Jeet,
Circle of Iron,R
Zombie Reddy,
Code Geass: Lelouch of the Re;Surrection,
Short Time,PG-13
Disorganized Crime,R
Draupathi,
Qayamat: City Under Threat,
Goyokin,PG
Krishna Gaadi Veera Prema Gaadha,
Neerali,
The Great Challenge,PG-13
Fastest,PG-13
Super Shark,
The Merciless,
Laser Mission,R
Indian,
Rajamanikyam,
Kavan,
August 8,R
The Gracefield Incident,PG-13
St. Ives,PG
The Italian Connection,R
You Carry Me,
"Sanshiro Sugata, Part Two",
Shanghai Fortress,
The Hero: Love Story of a Spy,
Børning 2,
Masterpiece,
Tarzan and the Leopard Woman,"Approved,Passed"
Believer,
Free Ride,
The Divine Move,
Thunderbirds Are GO,G
Those Daring Young Men in Their Jaunty Jalopies,G
Gen-X Cops,R
Adanga Maru,
The Swordsman,TV-14
Eeswaran,
Master,
Nenu Local,
Dragon Fist,
Ko 2,
Coolie,
Escape from Mogadishu,TV-14
Aragami,
Fukushima 50,
The Cutter,R
Post Impact,R
Trishul,
The Challenge,R
Samurai Assassin,
Shylock,
Public Enemy,
The Thinning: New World Order,
The Rebel,R
The Garden of Sinners: Overlooking View,PG-13
Savage Islands,PG
God of War,
International Khiladi,
The Pool,
Pork Pie,TV-MA
Anjathe,
Sehar,
Bujjigaadu: Made in Chennai,
$50K and a Call Girl: A Love Story,R
Tapped Out,R
Connected,
The Cold Summer of 1953,
Major Saab,
10.0 Earthquake,PG
Best of the Best 3: No Turning Back,R
InuYasha the Movie 3: Swords of an Honorable Ruler,TV-14
In the Name of the King: The Last Mission,R
The Oklahoma Kid,"Approved,Passed,TV-G"
Heroes of the East,R
The Good Cop,
Cotton Comes to Harlem,R
Govindudu Andari Vaadele,
V.I.P.,
Spiritual Kung Fu,PG
Legendary,PG-13
Arunachalam,
Thambi,
Undefeatable,R
The Saratov Approach,PG-13
The Darkest Dawn,
Deathstalker and the Warriors from Hell,R
I Went Down,R
Spy Intervention,
Hunter x Hunter: The Last Mission,TV-14
Apocalypse Pompeii,TV-14
Cyborg X,
Unnatural,R
Nerukku Ner,
The Sniper,
Beast Stalker,
The Bullet Vanishes,
Le Guignolo,
Mr. X,
The Legend of the Lone Ranger,PG
My Beloved Bodyguard,
Kyo Kii... Main Jhuth Nahin Bolta,
Dragon Ball: The Path to Power,
The Pagan King: The Battle of Death,TV-MA
Tezaab,
Chino,PG
David and Goliath,PG
The Purple Plain,Approved
The Gypsy Moths,"R,M"
Trancers II,R
Rendel: Dark Vengeance,
"Bleach: Fade to Black, I Call Your Name",TV-14
Baba,
State Property,R
InuYasha the Movie 2: The Castle Beyond the Looking Glass,TV-14
Invisible Agent,"Approved,Passed"
Already Dead,R
Operator,
Man on Fire,R
Survivor,
The Paper Will Be Blue,
Ghost in the Shell Arise: Border 4 - Ghost Stands Alone,TV-MA
Batman,"Approved,Passed"
Karma,
Shahenshah,
The Longest Nite,
Asphalt Burning,TV-14
Ramayya Vastavayya,
My New Partner at the Races,
Knights,R
Bang Rajan,R
Command Decision,"Approved,Passed"
Boy s tenyu,
Theeram,
Fairy Tail: Priestess of the Phoenix,TV-14
Free Fall,R
The Island of the Fishmen,R
Kaatru Veliyidai,
New Tale of Zatoichi,
Enemy Within,TV-14
Tokyo Zombie,
Fairy Tail: Dragon Cry,TV-14
Heavenly Sword,
Night of the Living Dead 3D: Re-Animation,R
Return of the Street Fighter,"R,X"
Galaxy Express 999,PG
Chushingura,
Battle Ground,R
Daddy,
Mais Forte que o Mundo: A História de José Aldo,
The World in His Arms,"Approved,TV-PG"
Jo Pil-ho: The Dawning Rage,
Massacre in Dinosaur Valley,
Badrinath,
Procession of Memories,
Villain,R
Defenders of Riga,
St George's Day,
Down River,
The Last Tycoon,
Ek Aur Ek Gyarah: By Hook or by Crook,
Pailwaan,
The Student Cop,
Tank 432,TV-MA
Ruthless Man,
Maria,TV-MA
Chirutha,
The Passage,
Eye of the Tiger,R
American Samurai,R
FDR: American Badass!,R
Cash,
Havoc in Heaven,TV-PG
Villain,
Legend,
Gitler kaput!,
Sketch,
Sportloto-82,PG-13
Angels' Brigade,PG
The Ambushers,"Approved,TV-PG"
Nettle,
Sugar Hill,"PG,TV-14,TV-PG,TV-MA"
The Vultures,
Ansatsu kyôshitsu,M
Battle for Skyark,PG-13
Attack on Titan: Crimson Bow and Arrow,TV-MA
Pars: Operation Cherry,
Downtown,R
DEFCON-4,R
Winning,"PG,M,TV-PG"
What Have They Done to Your Daughters?,R
Father and Guns,PG-13
Billa,
Full Love,
The Captain,
The King,
Kill Speed,R
Lost Command,Approved
Hollow Point,R
The Elder One,
Pray for Death,R
Yatterman,
Seized,R
Living & Dying,R
Rio Conchos,"Approved,TV-PG"
Gumnaami,
Dangerous Ground,R
Scenes of the Crime,R
Tetsuo: The Bullet Man,
Dinocroc,R
House of Fury,
Trading Paint,R
The Dark Lurking,R
The Swindlers,
The Fighting 69th,"Approved,TV-PG,Passed"
King of the Lost World,R
Junglee,
Ghost Machine,R
8 Thottakkal,
Navarathna,
Bruce Lee - The Fighter,
Hamara Dil Aapke Paas Hai,
Hunted,
Revolver Rani,
Zero Tolerance,R
Revelation Road: The Beginning of the End,
The Boss,R
Ashanti,R
Ninja in the Dragon's Den,
"Na Deribasovskoy khoroshaya pogoda, ili Na Brayton-Bich opyat idut dozhdi",
Pentathlon,R
The Power,
Botoks,
The Minion,R
Kadaram Kondan,
End of a Gun,R
Oceans Rising,TV-14
Vel,
Rebel,
The Story of Robin Hood and His Merrie Men,"Approved,PG"
The Prison,
Brotherhood of Blades 2,
Ghosts of Cité Soleil,
Diamond Dogs,R
Up Periscope,"Approved,TV-PG"
White Line Fever,PG
McBain,R
Rent-a-Cop,R
Guns & Talks,
4D Man,"Approved,TV-PG"
Black Mask 2: City of Masks,R
American Night,R
Switch,TV-MA
No Surrender,
Dead Sea,R
Transference,
Arjun,
Tamizhan,
New Town Killers,
Yaarana,
China Strike Force,R
The Cell,
Ape,PG
Gintama: The Movie,TV-14
Raw Force,R
Xingu,
Android Cop,
Musafir,
Top Cat,PG
Twenty:20,
Gekijôban Shingeki no Kyojin Kôhen: Jiyû no tsubasa,
Benny Loves You,TV-MA
Terra Nova,
Stagecoach,Approved
Vampires: The Turning,R
Nitro,R
Secret Wars,
The Villain,
Made Men,R
Neron,PG-13
Mazinger Z: INFINITY,TV-14
The Storm Warriors,PG-13
Metalstorm: The Destruction of Jared-Syn,PG
Nang Nak,
Sainikudu,
Ajin: Demi-Human,
Rogue Hostage,
Overheard 2,
The Shadow Effect,
The Cockleshell Heroes,Approved
Blunt Force Trauma,
Fantasy Mission Force,R
E=mc2,
Jack the Giant Killer,
Nijam,
Pour la peau d'un flic,
Rise of the Footsoldier 3,R
Detective Conan: Magician of the Silver Sky,
One Piece: Dead End Adventure,TV-14
House Shark,
Fuzz,PG
Hansel & Gretel: Warriors of Witchcraft,PG-13
Mishawr Rawhoshyo,
Devadas,
Dark Web,
Bloodstone,PG-13
Student No. 1,
Hot Dog,
"20, 000 Leagues Under the Sea","TV-G,Passed"
Aachi & Ssipak,PG-13
Tiger on Beat,TV-MA
Johnny Was,R
Midnight Family,
Zero Hour!,"Approved,TV-PG,Passed"
A Man Called Blade,
Enter the Fat Dragon,TV-14
Paws P.I.,PG
New Alcatraz,R
Double Trouble,R
Zatoichi the Fugitive,
Republic,
The Asian Connection,R
The FP,R
Dracula: The Dark Prince,R
Enai Noki Paayum Thota,
The Widow Couderc,TV-14
The Assailant,R
Rakuen Tsuiho: Expelled from Paradise,TV-14
The Garden of Sinners: A Study in Murder - Part 1,
Millionaires' Express,PG-13
Ninja Cheerleaders,R
Attack of the Killer Donuts,TV-14
Diep Vu Toc Hanh,
The Defender,R
No Mercy for the Rude,
D-Railed,
Samurai Spy,
Primal: Tales of Savagery,
Rigged,R
The Garden of Sinners: Paradox Spiral,
Night of the Running Man,R
The Touch,PG-13
Venus Wars,
Naseeb,
The King of the Kickboxers,R
The Dude in Me,
Crawl or Die,
The Man from Macau,
Mafia,
Dick Tracy Meets Gruesome,"TV-G,Approved,TV-PG,Passed"
Jade Dynasty,
Journey to the Seventh Planet,"Approved,Passed"
Rajini Murugan,
Blast,R
Veergati,
True Bloodthirst,TV-14
Digimon Adventure tri. Part 1: Reunion,"TV-PG,TV-14"
Fearless Hyena 2,
Hooked,
A Better Way to Die,R
The Collector,
Way of the Vampire,R
Rescue Under Fire,TV-14
Standing in the Dust,
High Ground,
The Duel,
Pitbull. Ostanti pies,
No Way Out,R
Diljale,
Swashbuckler,"PG,TV-PG"
Zatoichi,
Aegan,
Lost in Hong Kong,
Mega Shark vs. Kolossus,TV-14
Strength and Honour,R
Mega Time Squad,
3rd Class,
72 Meters,
They Call Me Bruce,PG
She,
Immortal Demon Slayer,
All Things to All Men,
Kidô Senshi Gundam,
Invisible Stripes,"Approved,Passed,TV-G"
Year of the Comet,PG-13
Night Ambush,
Spiders II: Breeding Ground,R
Ambushed,R
Dynamite Warrior,
Universal Soldiers,
Que Pena Tu Vida,
Pa Paandi,
The Stick Up,R
Caged Animal,R
Khushi,
Parwaaz Hai Junoon,
Gangster Land,
New Fist of Fury,R
Amir El Zalam,
Zatoichi and the Chest of Gold,
