Movie_Title,ListOfCertificate
Underworld: Rise of the Lycans,R
Rampage,PG-13
Wild Wild West,PG-13
The Last Stand,R
Payback,R
Snakes on a Plane,R
Escape from New York,R
We Were Soldiers,R
Lara Croft Tomb Raider: The Cradle of Life,PG-13
Tombstone,R
Ghost in the Shell,"TV-MA,TV-PG,TV-14"
9,PG-13
Sicario: Day of the Soldado,R
The Negotiator,R
Resident Evil: Retribution,R
Tower Heist,"PG-13,TV-14"
Pixels,"PG-13,TV-PG"
The Lego Batman Movie,PG
Smokin' Aces,R
Ransom,R
Four Brothers,R
Mulan,"PG-13,TV-PG"
Kindergarten Cop,"PG-13,TV-14"
Max Payne,"R,PG-13"
Shanghai Noon,PG-13
Kubo and the Two Strings,PG
Eragon,PG
The Bounty Hunter,PG-13
The Walk,"PG,TV-PG,TV-MA"
Men in Black: International,PG-13
Wrath of Man,R
The Score,R
Charlie's Angels: Full Throttle,"PG-13,TV-14"
Cliffhanger,R
Outbreak,R
Tag,"R,TV-14"
The Host,PG-13
Logan Lucky,PG-13
Daybreakers,R
R.I.P.D.,"PG-13,TV-14"
Thunderball,"Approved,GP,PG"
Spy Kids,PG
Okja,TV-MA
Miami Vice,"R,TV-14"
Murder Mystery,PG-13
From Paris with Love,R
Judge Dredd,R
Beverly Hills Cop II,"R,TV-14"
Catwoman,"PG-13,TV-14"
Mortal Kombat,PG-13
The Host,R
Ghost Rider: Spirit of Vengeance,PG-13
Freddy vs. Jason,"R,TV-MA"
What Happened to Monday,TV-MA
Skyscraper,"TV-MA,PG-13,TV-14"
Homefront,R
F9: The Fast Saga,PG-13
Allegiant,PG-13
The Rundown,PG-13
Gemini Man,PG-13
Faster,"R,TV-14"
You Only Live Twice,"Approved,GP,PG,TV-PG"
Filth,R
The Huntsman: Winter's War,PG-13
Run All Night,R
The 5th Wave,PG-13
Power Rangers,PG-13
Get the Gringo,R
The Three Musketeers,PG-13
Paycheck,PG-13
The Mountain II,
Paul Blart: Mall Cop,"PG,PG-13"
Eraser,R
Maverick,PG
Safe,R
The Losers,PG-13
30 Minutes or Less,R
Cellular,PG-13
The Brothers Grimsby,R
Patriots Day,R
The Last Boy Scout,R
Colombiana,PG-13
The Warriors,"R,TV-14"
Running Scared,R
Journey 2: The Mysterious Island,PG
The Legend of Zorro,PG
Never Back Down,PG-13
In the Line of Fire,R
Zathura: A Space Adventure,"PG,TV-Y7,TV-PG"
Jo Nesbø's Headhunters,R
Venom: Let There Be Carnage,PG-13
The Last Witch Hunter,PG-13
Crocodile Dundee,PG-13
Licence to Kill,PG-13
U.S. Marshals,PG-13
Teenage Mutant Ninja Turtles: Out of the Shadows,"PG-13,TV-PG,TV-14"
War,R
Romancing the Stone,PG
American Ultra,R
xXx: Return of Xander Cage,PG-13
Resident Evil: The Final Chapter,R
Teenage Mutant Ninja Turtles,PG
Killers,PG-13
The Quick and the Dead,"R,TV-14,TV-PG,TV-MA"
Elektra,PG-13
The Guardian,PG-13
Angel Has Fallen,R
The One,PG-13
The Pacifier,"PG,TV-Y7,TV-PG"
Gangs of Wasseypur,
3 Days to Kill,PG-13
Hardcore Henry,R
Rambo: Last Blood,R
The Magnificent Seven,"Approved,TV-PG"
Grosse Pointe Blank,R
Blue Streak,PG-13
Centurion,R
Ultraviolet,PG-13
U-571,PG-13
Assassins,R
Project Power,R
Taxi,
Final Fantasy: The Spirits Within,PG-13
Bloodsport,R
Legend of the Guardians: The Owls of Ga'Hoole,PG
Spenser Confidential,R
Mechanic: Resurrection,R
Bajrangi Bhaijaan,"TV-PG,TV-14"
The Wild Bunch,R
Elite Squad 2: The Enemy Within,
Death Note,TV-MA
Baahubali 2: The Conclusion,TV-MA
The Tuxedo,PG-13
Ong-Bak: The Thai Warrior,R
Star Trek IV: The Voyage Home,PG
Anna,R
Underworld: Blood Wars,R
Star Trek: Insurrection,PG
Star Trek VI: The Undiscovered Country,PG
Collateral Damage,R
Walking Tall,PG-13
12 Strong,R
Fearless,PG-13
48 Hrs.,"R,TV-14"
Seventh Son,PG-13
The Spy Who Dumped Me,R
Outlander,R
Volcano,PG-13
Into the Blue,PG-13
Red Dawn,PG-13
Doomsday,R
Six Days Seven Nights,PG-13
George of the Jungle,PG
Mile 22,R
Shaft,R
Outlaw King,R
Joy Ride,R
The Man from Nowhere,R
Zoolander 2,PG-13
Red Heat,"R,TV-14"
Windtalkers,R
Superman III,PG
Act of Valor,R
Into the Storm,PG-13
The Eagle,PG-13
Road House,R
District B13,R
Land of the Lost,"R,PG-13"
The New Mutants,PG-13
Romeo Must Die,R
Redemption,"R,TV-MA"
Johnny Mnemonic,R
Robin Hood,PG-13
Street Fighter,PG-13
A Most Violent Year,R
Death Wish,R
Jackass Number Two,"R,TV-MA"
Johnny English Strikes Again,PG
Open Range,"R,TV-14"
Takers,PG-13
Keeping Up with the Joneses,PG-13
Point Break,PG-13
Basic,R
Darkman,R
The Man with the Iron Fists,R
Punisher: War Zone,R
Friday Night Lights,PG-13
Timeline,PG-13
Peppermint,R
Sabotage,R
Showtime,PG-13
Hitman's Wife's Bodyguard,R
Star Wars: The Clone Wars,PG
Blood Father,R
Colossal,R
