Movie_Title,Movie_ID,ListOfCertificate
The Ring,298130,PG-13
An Officer and a Gentleman,84434,R
Ghostbusters,1289401,PG-13
American Beauty,169547,R
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,443453,R
The Nutty Professor,117218,PG-13
Transformers: The Last Knight,3371366,PG-13
American Gangster,765429,R
The Divergent Series: Insurgent,2908446,PG-13
The Flintstones,109813,PG
50 First Dates,343660,"R,PG-13"
Get Smart,425061,PG-13
The Peanuts Movie,2452042,G
Lethal Weapon 4,122151,R
Speed,111257,R
Superbad,829482,R
The Bourne Identity,258463,PG-13
Wayne's World,105793,PG-13
The Hunt for Red October,99810,PG
The Bodyguard,103855,R
G.I. Joe: Retaliation,1583421,PG-13
Clear and Present Danger,109444,PG-13
"Good Morning, Vietnam",93105,R
The Good Dinosaur,1979388,PG
Rango,1192628,PG
City Slickers,101587,PG-13
Nutty Professor II: The Klumps,144528,PG-13
Mamma Mia! Here We Go Again,6911608,PG-13
Traffic,181865,R
The Birdcage,115685,R
Peter Rabbit,5117670,PG
Unbroken,1809398,PG-13
Creed II,6343314,PG-13
Remember the Titans,210945,PG
Ghost Rider,259324,PG-13
You've Got Mail,128853,PG
District 9,1136608,R
The Towering Inferno,72308,PG
Lee Daniels' The Butler,1327773,PG-13
Notting Hill,125439,PG-13
8 Mile,298203,R
S.W.A.T.,257076,PG-13
Green Lantern,1133985,PG-13
Jackass 3D,1116184,R
Double Jeopardy,150377,R
Ocean's Thirteen,496806,PG-13
Rocky,75148,PG
The Wolf of Wall Street,993846,R
Horrible Bosses,1499658,R
The Nun,5814060,R
Couples Retreat,1078940,"R,PG-13"
Crocodile Dundee II,92493,PG
The 40-Year-Old Virgin,405422,R
Star Trek IV: The Voyage Home,92007,PG
A Time to Kill,117913,R
Creed,3076658,PG-13
Freaky Friday,322330,PG
Scary Movie 3,306047,PG-13
Bedtime Stories,960731,PG
Trainwreck,3152624,R
Fun with Dick and Jane,369441,PG-13
The Grudge,391198,PG-13
Valentine's Day,817230,PG-13
Godzilla: King of the Monsters,3741700,PG-13
Spy,3079380,R
Glass,6823368,PG-13
The Last Samurai,325710,R
Mr. Peabody & Sherman,864835,PG
Porky's,84522,R
Tropic Thunder,942385,R
Rise of the Guardians,1446192,PG
Paranormal Activity 3,1778304,R
The Mule,7959026,R
Daddy's Home 2,5657846,PG-13
Dreamgirls,443489,PG-13
Journey 2: The Mysterious Island,1397514,PG
Dick Tracy,99422,PG
The Princess and the Frog,780521,G
Road to Perdition,257044,R
Daddy Day Care,317303,PG
American Wedding,328828,R
The Chronicles of Narnia: The Voyage of the Dawn Treader,980970,PG
The Graduate,61722,PG
Phenomenon,117333,PG
Pitch Perfect 3,4765284,PG-13
Interview with the Vampire: The Vampire Chronicles,110148,R
George of the Jungle,119190,PG
Due Date,1231583,R
