Movie_Title,Time
The Prince of Egypt,99
Se7en,127
Million Dollar Baby,132
Unbreakable,106
The Princess Diaries 2: Royal Engagement,113
Sex and the City 2,146
Norbit,103
Zero Dark Thirty,157
Cold Mountain,154
Rocketman,121
Dead Poets Society,128
Panic Room,112
Legally Blonde,96
The Others,101
Downton Abbey,122
Arthur,97
The Social Network,120
Schindler&apos;s List,195
Public Enemies,140
Yes Man,104
Inspector Gadget,78
Sausage Party,89
Meet the Robinsons,95
Olympus Has Fallen,119
Christopher Robin,104
Date Night,88
The Scorpion King,92
The Green Hornet,119
High School Musical 3: Senior Year,112
The Game Plan,110
Antz,83
Save the Last Dance,112
Prince of Persia: The Sands of Time,116
The Karate Kid,126
Stepmom,125
The Imitation Game,114
Ride Along 2,102
Back to School,96
Crimson Tide,116
The Haunting,113
Think Like a Man,123
Kindergarten Cop,111
Heaven Is for Real,99
Star Trek: First Contact,111
Miss Peregrine&apos;s Home for Peculiar Children,127
Fury,134
Spy Kids 2: Island of Lost Dreams,100
Alvin and the Chipmunks: The Road Chip,92
Annie,118
Out of Africa,161
The Accountant,128
Presumed Innocent,127
The War of the Roses,116
The Naked Gun 2½: The Smell of Fear,85
Saw II,93
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,96
Paranormal Activity 2,91
Are We There Yet?,95
Up in the Air,109
Monster-in-Law,101
Charlotte&apos;s Web,97
Die Hard,132
Disclosure,128
Valkyrie,121
Brokeback Mountain,134
Patriot Games,117
Saving Mr. Banks,125
Under Siege,103
Apocalypse Now,147
I Can Only Imagine,110
Immortals,110
Battle: Los Angeles,116
The School of Rock,109
Days of Thunder,107
Goosebumps,103
Cloverfield,85
Jack Reacher,130
The Mummy,111
Jumper,88
Disturbia,105
Saw III,108
Zookeeper,102
AVP: Alien vs. Predator,101
Fiddler on the Roof,181
What Happens in Vegas,99
Hustlers,110
The Texas Chainsaw Massacre,98
The Wedding Singer,97
Footloose,107
We Were Soldiers,138
Romancing the Stone,106
Training Day,122
Father of the Bride Part II,106
Poltergeist,114
27 Dresses,111
Limitless,105
Dolittle,101
Alice Through the Looking Glass,113
The A-Team,117
U-571,116
Where the Wild Things Are,101
Parental Guidance,105
La marche de l&apos;empereur,80
The Adventures of Tintin,107
Annabelle Comes Home,106
No Country for Old Men,122
Alien: Covenant,122
Six Days Seven Nights,102
Ben-Hur,212
The Prince of Tides,132
Ladder 49,115
Four Brothers,109
Star Trek VI: The Undiscovered Country,110
Eragon,104
Coraline,100
The Exorcism of Emily Rose,119
