Movie,Date,Month,Year
Dying Young,21,6,1991
Marmaduke,4,6,2010
The Gambler,25,12,2014
The Punisher,16,4,2004
Striptease,28,6,1996
Black Knight,21,11,2001
Annihilation,23,2,2018
Coming Home,15,2,1978
When in Rome,29,1,2010
Return to Me,7,4,2000
Because of Winn-Dixie,18,2,2005
Taking Lives,19,3,2004
The 13th Warrior,27,8,1999
Dreamer: Inspired by a True Story,21,10,2005
Driven,27,4,2001
Hereafter,22,10,2010
The Last House on the Left,13,3,2009
Team America: World Police,15,10,2004
Psycho,8,9,1960
Paper Towns,24,7,2015
Cellular,10,9,2004
Drillbit Taylor,21,3,2008
Copycat,27,10,1995
Mr. Magorium&apos;s Wonder Emporium,16,11,2007
The Shadow,1,7,1994
House of Wax,6,5,2005
The Accused,14,10,1988
How to Be a Latin Lover,28,4,2017
What&apos;s the Worst That Could Happen?,1,6,2001
Analyze That,6,12,2002
The Lawnmower Man,6,3,1992
Stealth,29,7,2005
Paint Your Wagon,15,10,1969
Daddy&apos;s Little Girls,14,2,2007
Metro,17,1,1997
Beverly Hills Ninja,17,1,1997
Monster&apos;s Ball,1,3,2002
Bustin&apos; Loose,22,5,1981
The Eye,1,2,2008
Eddie,31,5,1996
Nick and Norah&apos;s Infinite Playlist,3,10,2008
Adrift,8,6,2018
Zack and Miri Make a Porno,31,10,2008
A History of Violence,30,9,2005
Scott Pilgrim vs. the World,13,8,2010
"Good Night, and Good Luck.",4,11,2005
United 93,28,4,2006
Little Big Man,23,12,1970
She&apos;s Out of My League,12,3,2010
Chappie,6,3,2015
One Hour Photo,13,9,2002
Rob Roy,14,4,1995
Major League II,30,3,1994
Superstar,8,10,1999
Chef,30,5,2014
Dogma,12,11,1999
Random Hearts,8,10,1999
Delivery Man,22,11,2013
Predator 2,21,11,1990
Mirrors,15,8,2008
The Legend of Bagger Vance,3,11,2000
3 Days to Kill,21,2,2014
Robin Hood,30,11,2018
Murphy&apos;s Romance,31,1,1986
Doragon bôru chô: Burorî,22,3,2019
I Love Trouble,29,6,1994
Sophie&apos;s Choice,4,3,1983
The Gods Must Be Crazy,10,9,1980
Road House,19,5,1989
Kidnap,11,8,2017
Super Troopers 2,20,4,2018
Ryan&apos;s Daughter,10,12,1970
Dragonfly,22,2,2002
"Hail, Caesar!",5,2,2016
Elizabeth,23,10,1998
Daybreakers,8,1,2010
Double Impact,9,8,1991
Blown Away,1,7,1994
When the Game Stands Tall,22,8,2014
Bad Company,7,6,2002
Riding in Cars with Boys,19,10,2001
The Rose,7,11,1979
The Bank Job,28,2,2008
The Art of War,25,8,2000
When the Bough Breaks,9,9,2016
The Stepfather,16,10,2009
Rent,23,11,2005
The Object of My Affection,17,4,1998
The Mechanic,28,1,2011
The Last Picture Show,22,10,1971
Nanny McPhee and the Big Bang,26,3,2010
Priest,13,5,2011
Zathura: A Space Adventure,11,11,2005
Child&apos;s Play,21,6,2019
Fools Rush In,14,2,1997
Shoot to Kill,12,2,1988
Confessions of a Teenage Drama Queen,28,5,2004
A Low Down Dirty Shame,23,11,1994
Spice World,26,12,1997
Bless the Child,11,8,2000
3 Ninjas,7,8,1992
The Five-Year Engagement,27,4,2012
Zoolander 2,4,3,2016
Starman,14,12,1984
The Crocodile Hunter: Collision Course,12,7,2002
High Road to China,18,3,1983
Stop! Or My Mom Will Shoot,21,2,1992
Mr. Brooks,1,6,2007
Employee of the Month,6,10,2006
Garfield: A Tale of Two Kitties,23,3,2007
Child&apos;s Play 2,9,11,1990
Brothers,4,12,2009
We Own the Night,12,10,2007
Swimfan,6,9,2002
Desperately Seeking Susan,12,4,1985
Menace II Society,26,5,1993
Florence Foster Jenkins,6,5,2016
Love &amp; Basketball,21,4,2000
Final Analysis,7,2,1992
Memphis Belle,7,9,1990
The Brothers,23,3,2001
Friday,26,4,1995
Do the Right Thing,21,7,1989
Poetic Justice,23,7,1993
Hoosiers,27,2,1987
The Finest Hours,12,2,2016
The Island of Dr. Moreau,23,8,1996
Hannibal Rising,7,2,2007
Saw VI,22,10,2009
The Last Witch Hunter,23,10,2015
Superhero Movie,28,3,2008
Event Horizon,15,8,1997
Winnie the Pooh,15,4,2011
Overboard,16,12,1987
The Best of Me,17,10,2014
Zombieland: Double Tap,25,10,2019
Garden State,20,8,2004
Eye for an Eye,12,1,1996
The Other Boleyn Girl,29,2,2008
Ricki and the Flash,18,9,2015
Glory,16,2,1990
Elizabethtown,14,10,2005
Resident Evil: The Final Chapter,10,2,2017
Hell or High Water,11,11,2016
The Host,19,4,2013
Blood Work,9,8,2002
The Adventures of Rocky &amp; Bullwinkle,30,6,2000
The World&apos;s End,19,7,2013
That Awkward Moment,14,3,2014
Jacob&apos;s Ladder,2,11,1990
Modern Problems,25,12,1981
A Man Apart,4,4,2003
Ramona and Beezus,23,7,2010
Micki + Maude,21,12,1984
Overcomer,23,8,2019
The Wrestler,30,1,2009
Necessary Roughness,27,9,1991
Memento,25,5,2001
The House,30,6,2017
All About the Benjamins,8,3,2002
The Art of Racing in the Rain,13,9,2019
Serenity,30,9,2005
W.,17,10,2008
Captain Corelli&apos;s Mandolin,4,5,2001
Her,10,1,2014
Jonah: A VeggieTales Movie,4,10,2002
The Mist,21,11,2007
Nancy Drew,15,6,2007
The Outsiders,25,3,1983
Mimic,22,8,1997
Ernest Goes to Jail,6,4,1990
Grindhouse,6,4,2007
The Wood,16,7,1999
Wyatt Earp,24,6,1994
In the Heart of the Sea,11,12,2015
Navy Seals,20,7,1990
Midnight in the Garden of Good and Evil,21,11,1997
Winchester,9,3,2018
Against All Odds,2,3,1984
Problem Child 2,3,7,1991
The Reaping,5,4,2007
All the Money in the World,12,1,2018
Moscow on the Hudson,6,4,1984
15 Minutes,9,3,2001
Lucky Lady,25,12,1975
Downsizing,22,12,2017
From Russia with Love,25,10,1963
Don Jon,27,9,2013
Fly Away Home,13,9,1996
Unleashed,2,2,2005
Fargo,5,4,1996
On the Basis of Sex,11,1,2019
From Paris with Love,5,2,2010
The Best Years of Our Lives,29,5,1947
Sicko,3,7,2007
Air Bud,1,8,1997
Sixteen Candles,4,5,1984
Good Burger,25,7,1997
Santa Claus: The Movie,27,11,1985
Striking Distance,17,9,1993
Corky Romano,12,10,2001
Perfect Stranger,13,4,2007
Observe and Report,10,4,2009
Two of a Kind,16,12,1983
The Russia House,21,12,1990
Match Point,26,10,2005
Weird Science,2,8,1985
American Gigolo,1,2,1980
The Long Riders,16,5,1980
Transcendence,25,4,2014
The Players Club,8,4,1998
Bulletproof Monk,16,4,2003
Whiskey Tango Foxtrot,4,3,2016
Sanctum,3,2,2011
The Program,24,9,1993
Stay Alive,27,10,2006
Monte Carlo,2,9,2011
Fame,25,9,2009
Vicky Cristina Barcelona,15,8,2008
City by the Sea,6,9,2002
Hitman: Agent 47,28,8,2015
The Warriors,9,2,1979
War,24,8,2007
Lucky Number Slevin,24,2,2006
Captain Ron,18,9,1992
My Super Ex-Girlfriend,21,7,2006
The Black Dahlia,15,9,2006
Babylon A.D.,20,8,2008
Much Ado About Nothing,2,7,1993
Pure Luck,9,8,1991
Thunderheart,3,4,1992
Quest for Camelot,15,5,1998
A Lot Like Love,8,7,2005
Il postino,22,9,1994
Hellboy,12,4,2019
My Little Pony: The Movie,20,10,2017
Friday the 13th: A New Beginning,22,3,1985
Billy Elliot,29,9,2000
Joy Ride,5,10,2001
Death Wish,24,7,1974
Frankenstein,4,11,1994
Black and Blue,25,10,2019
Cousins,10,2,1989
The Medallion,15,8,2003
Lock Up,4,8,1989
The Caine Mutiny,24,6,1954
Tough Guys,3,10,1986
The Darkest Hour,22,12,2011
Quigley Down Under,19,10,1990
The Adventures of Ford Fairlane,11,7,1990
Rhinestone,22,6,1984
Toys,18,12,1992
The Freshman,27,7,1990
When a Stranger Calls,26,10,1979
Urban Legends: Final Cut,22,9,2000
Battlefield Earth,12,5,2000
The Book Thief,28,2,2014
Psycho,4,12,1998
Married to the Mob,19,8,1988
The Way Way Back,26,7,2013
The Right Stuff,17,2,1984
Looney Tunes: Back in Action,14,11,2003
Flicka,20,10,2006
Fantastic Mr. Fox,23,10,2009
Aloha,29,5,2015
Flight of the Phoenix,17,12,2004
The Air Up There,7,1,1994
Creepshow,12,11,1982
National Lampoon&apos;s Van Wilder,5,4,2002
Phantom Thread,23,2,2018
Punchline,7,10,1988
The Wiz,24,10,1978
Antwone Fisher,10,1,2003
Reality Bites,18,2,1994
Gamer,4,9,2009
Top Secret!,8,6,1984
The Circle,5,5,2017
Chain Reaction,2,8,1996
The Invisible,27,4,2007
F/X,7,2,1986
Boys and Girls,16,6,2000
A Christmas Story,18,11,1983
Keanu,29,4,2016
The Great Waldo Pepper,13,3,1975
Valentine,2,2,2001
Multiplicity,17,7,1996
The Man from Snowy River,25,3,1982
Diary of a Wimpy Kid: The Long Haul,19,5,2017
Big Miracle,3,2,2012
My Favorite Year,8,10,1982
Juice,17,1,1992
Die unendliche Geschichte,6,4,1984
UglyDolls,1,5,2019
Homefront,6,12,2013
Dracula,30,8,1979
Don&apos;t Be a Menace to South Central While Drinking Your Juice in the Hood,12,1,1996
Secret in Their Eyes,20,11,2015
The People vs. Larry Flynt,10,1,1997
The Life of David Gale,21,2,2003
The Serpent and the Rainbow,5,2,1988
City Hall,16,2,1996
8 Seconds,25,2,1994
Nine Lives,12,8,2016
Appaloosa,3,10,2008
Tucker: The Man and His Dream,12,8,1988
Man of the House,25,2,2005
Skin Deep,3,3,1989
Broken City,22,2,2013
Summer Catch,24,8,2001
Color of Night,19,8,1994
The Pledge,19,1,2001
Remember Me,19,3,2010
Waitress,25,5,2007
Hart&apos;s War,15,2,2002
Johnny Mnemonic,26,5,1995
Race,19,2,2016
"I, Frankenstein",24,1,2014
Tuck Everlasting,11,10,2002
Blaze,13,12,1989
Martin Lawrence Live: Runteldat,2,8,2002
Friday the 13th Part VII: The New Blood,13,5,1988
Anywhere But Here,12,11,1999
The Ninth Gate,25,8,1999
Casualties of War,18,8,1989
Becoming Jane,9,3,2007
Eye in the Sky,15,4,2016
Year of the Dragon,16,8,1985
Sugar Hill,25,2,1994
The Believers,10,6,1987
Next,27,4,2007
Harold &amp; Kumar Go to White Castle,30,7,2004
Simon Birch,11,9,1998
The Upside of Anger,1,4,2005
Love Affair,21,10,1994
Crimes and Misdemeanors,3,11,1989
Fright Night,26,8,2011
Paranormal Activity: The Ghost Dimension,23,10,2015
The Four Feathers,20,9,2002
Walk Hard: The Dewey Cox Story,21,12,2007
Only the Brave,20,10,2017
127 Hours,7,1,2011
Babe: Pig in the City,25,11,1998
Into the Wild,19,10,2007
The Delta Force,14,2,1986
Bears,18,4,2014
Bad Santa 2,23,11,2016
The Big Green,29,9,1995
Mr. Holmes,19,6,2015
The Perks of Being a Wallflower,12,10,2012
Show Dogs,8,6,2018
Steve Jobs,22,1,2016
Halloween 4: The Return of Michael Myers,21,10,1988
Mother!,15,9,2017
Going the Distance,3,9,2010
The Rage: Carrie 2,12,3,1999
Bad Times at the El Royale,19,10,2018
Drive Me Crazy,1,10,1999
Laws of Attraction,30,4,2004
Punch-Drunk Love,1,11,2002
For the Boys,27,11,1991
Last Man Standing,20,9,1996
Addicted,7,11,2014
Chappaquiddick,6,4,2018
Disturbing Behavior,24,7,1998
The Ruins,4,4,2008
Dark Skies,29,3,2013
Klute,25,6,1971
The Zookeeper&apos;s Wife,31,3,2017
Angel,13,1,1984
Sorry to Bother You,13,7,2018
Father Figures,22,12,2017
Empire,6,12,2002
Notes on a Scandal,2,2,2007
Win a Date with Tad Hamilton!,16,4,2004
Pet Sematary II,28,8,1992
The Falcon and the Snowman,8,2,1985
Ghosts of the Abyss,10,9,2003
The Big Lebowski,6,3,1998
Fled,19,7,1996
Rushmore,19,2,1999
Seed of Chucky,12,11,2004
Kung fu,13,5,2005
Annapolis,27,1,2006
Center Stage,12,5,2000
To Rome with Love,20,4,2012
Blink,26,1,1994
Freejack,17,1,1992
Catch That Kid,6,2,2004
Safe,11,5,2012
New in Town,6,3,2009
Lost Souls,13,10,2000
The Frighteners,19,7,1996
The Kid Who Would Be King,25,1,2019
Valley Girl,29,4,1983
Detroit,4,8,2017
Rebound,1,7,2005
Howard the Duck,1,8,1986
Ging chaat goo si III: Chiu kup ging chaat,4,7,1992
Chances Are,10,3,1989
Swing Vote,1,8,2008
21 Grams,16,1,2004
Elizabeth: The Golden Age,12,10,2007
Young Adult,16,12,2011
An American Haunting,14,4,2006
A Simple Plan,22,1,1999
Tales from the Darkside: The Movie,4,5,1990
Burglar,20,3,1987
That Old Feeling,4,4,1997
The Whole Ten Yards,9,4,2004
Billy Bathgate,1,11,1991
Marie Antoinette,24,5,2006
Armored,4,12,2009
The Single Moms Club,14,3,2014
The Raven,27,4,2012
Confessions of a Dangerous Mind,24,1,2003
O,31,8,2001
The Transporter Refueled,4,9,2015
Late Night,14,6,2019
Corvette Summer,2,6,1978
The Thirteenth Floor,28,5,1999
All the Pretty Horses,25,12,2000
Legend,13,12,1985
The Ghost Writer,18,2,2010
Switch,10,5,1991
My Boss&apos;s Daughter,22,8,2003
Highlander II: The Quickening,6,2,1991
Happily N&apos;Ever After,5,1,2007
Loser,21,7,2000
View from the Top,21,3,2003
The Last Exorcism Part II,1,3,2013
A Perfect Getaway,7,8,2009
Firestarter,11,5,1984
Halloween: The Curse of Michael Myers,29,9,1995
Arthur et les Minimoys,13,12,2006
The Corruptor,12,3,1999
Pure Country,23,10,1992
Thinner,25,10,1996
And So It Goes,25,7,2014
Grease 2,11,6,1982
Muriel&apos;s Wedding,29,9,1994
Dungeons &amp; Dragons,8,12,2000
Child&apos;s Play 3,30,8,1991
The Possession of Hannah Grace,21,12,2018
The Girl in the Spider&apos;s Web,9,11,2018
The Prodigy,8,2,2019
Once Around,1,2,1991
Music of the Heart,29,10,1999
S.O.B.,1,7,1981
Election,7,5,1999
Step Up All In,18,8,2014
Indian Summer,23,4,1993
Keeping Up with the Joneses,21,10,2016
Big Eyes,25,12,2014
Per un pugno di dollari,12,9,1964
Maximum Risk,13,9,1996
Fly Me to the Moon,30,1,2008
School Daze,12,2,1988
The Chamber,11,10,1996
Wild at Heart,17,8,1990
Welcome to Mooseport,20,2,2004
Dirty Dancing: Havana Nights,27,2,2004
Disaster Movie,29,8,2008
Alex &amp; Emma,20,6,2003
Supernova,14,1,2000
Scanners,16,1,1981
A Chorus Line,20,12,1985
The Return of the Living Dead,16,8,1985
Amelia,23,10,2009
The Ice Pirates,16,3,1984
Josie and the Pussycats,11,4,2001
Out Cold,21,11,2001
Candyman: Farewell to the Flesh,17,3,1995
Jackie,2,12,2016
Blues Brothers 2000,6,2,1998
Stealing Harvard,13,9,2002
It Comes at Night,9,6,2017
Hush,6,3,1998
The Gate,15,5,1987
Eighth Grade,3,8,2018
Sin City: A Dame to Kill For,29,8,2014
Nixon,5,1,1996
Juwanna Mann,21,6,2002
The Little Vampire,28,9,2000
Osmosis Jones,10,8,2001
Supergirl,19,7,1984
The Crush,2,4,1993
Critters,11,4,1986
Intouchables,2,11,2011
Daddy Day Camp,8,8,2007
Inside Llewyn Davis,6,11,2013
Feardotcom,30,8,2002
Case 39,1,10,2010
Ghost Town,19,9,2008
Roller Boogie,21,12,1979
Visiting Hours,21,5,1982
The Mod Squad,26,3,1999
Playing for Keeps,7,12,2012
Living Out Loud,6,11,1998
Volver,17,3,2006
American Outlaws,17,8,2001
Perfect,7,6,1985
April Fool&apos;s Day,28,3,1986
Man&apos;s Best Friend,19,11,1993
The Quiet American,17,12,2002
Religulous,3,10,2008
The Concorde... Airport &apos;79,17,8,1979
Gods and Generals,21,2,2003
Carol,27,11,2015
Love &amp; Mercy,26,6,2015
Idlewild,25,8,2006
I Think I Love My Wife,16,3,2007
Silent House,9,3,2012
The Light Between Oceans,7,10,2016
The Omega Code,27,8,1999
The Legend of the Lone Ranger,22,5,1981
The Matador,27,1,2006
Compromising Positions,30,8,1985
Bad Influence,9,3,1990
Ready to Rumble,7,4,2000
I&apos;ll Be Home for Christmas,13,11,1998
Confidence,25,4,2003
Lone Wolf McQuade,15,4,1983
12 Rounds,17,4,2009
Before I Fall,12,5,2017
Self/less,14,8,2015
Hot Tub Time Machine 2,20,2,2015
True Romance,10,9,1993
A Stranger Among Us,17,7,1992
Escape from the Planet of the Apes,9,7,1971
No Mercy,19,12,1986
Gattaca,24,10,1997
Sunshine Cleaning,17,4,2009
The Wild Bunch,19,6,1969
Deathstalker,16,9,1983
The Darjeeling Limited,26,10,2007
Sorority Row,11,9,2009
Blinded by the Light,9,8,2019
The King and I,19,3,1999
"Roman J. Israel, Esq.",22,11,2017
End of the Spear,20,1,2006
Phantasm,28,3,1979
Upgrade,1,6,2018
The Seven Year Itch,2,7,1955
Jui kuen II,3,2,1994
Get Over It,9,3,2001
Nuovo Cinema Paradiso,17,11,1988
Police Academy 6: City Under Siege,10,3,1989
Alaska,14,8,1996
Wing Commander,12,3,1999
So I Married an Axe Murderer,30,7,1993
The Last Kiss,15,9,2006
Lifeforce,4,10,1985
Zoom,11,8,2006
Le pacte des loups,31,1,2001
One Good Cop,3,5,1991
Bobby,23,11,2006
Unforgettable,21,4,2017
Das Leben der Anderen,23,3,2006
Manhattan Murder Mystery,18,8,1993
Prêt-à-Porter,25,12,1994
Extreme Prejudice,24,4,1987
Out of the Furnace,6,12,2013
Thumbelina,30,3,1994
Lords of Dogtown,3,6,2005
Deep Rising,30,1,1998
D-War,1,8,2007
The Astronaut Farmer,23,2,2007
Antitrust,12,1,2001
For Love or Money,1,10,1993
"Give &apos;em Hell, Harry!",18,9,1975
The Last Flight of Noah&apos;s Ark,25,6,1980
The End of the Affair,21,1,2000
The Astronaut&apos;s Wife,27,8,1999
Hercules,12,8,1983
RoboCop 3,5,11,1993
Fear and Loathing in Las Vegas,22,5,1998
Leave It to Beaver,22,8,1997
Drive Angry,25,2,2011
The Drop,21,11,2014
Belle,13,6,2014
Abandon,18,10,2002
Glengarry Glen Ross,2,10,1992
The Darkness,13,5,2016
Stay Tuned,14,8,1992
New York Stories,10,3,1989
Live by Night,20,1,2017
Head Over Heels,2,2,2001
The Perfect Score,30,1,2004
Stardust Memories,26,9,1980
The Scarlet Letter,13,10,1995
Raise Your Voice,8,10,2004
Universal Soldier: The Return,20,8,1999
Thief of Hearts,19,10,1984
A Rage in Harlem,3,5,1991
Fei ying gai wak,7,2,1991
Home Fries,25,11,1998
Narc,10,1,2003
The Secret of NIMH,16,7,1982
The Walk,23,10,2015
The Fountain,22,11,2006
Henry V,8,11,1989
Bats,22,10,1999
Cyborg,7,4,1989
The Great Raid,12,8,2005
Domino,14,10,2005
Facing the Giants,29,9,2006
Lovesick,18,2,1983
The Belko Experiment,17,3,2017
Prom,29,4,2011
King Kong,7,4,1933
Yonkers Joe,9,1,2009
Once Bitten,15,11,1985
Mr. Smith Goes to Washington,19,10,1939
The Express,10,10,2008
Belly,4,11,1998
The Perfect Match,11,3,2016
I Don&apos;t Know How She Does It,16,9,2011
S1m0ne,23,8,2002
The Baby-Sitters Club,18,8,1995
Lost in Yonkers,14,5,1993
Stone Cold,17,5,1991
The Frisco Kid,13,7,1979
Dragonball Evolution,29,4,2009
Black Snake Moan,2,3,2007
Hardcore Henry,7,4,2016
Transamerica,3,3,2006
The Boy in the Striped Pyjamas,12,9,2008
First Daughter,24,9,2004
Trail of the Pink Panther,3,12,1982
Dark Blue,21,2,2003
Flickan som lekte med elden,18,9,2009
Meet the Blacks,1,4,2016
Warlock,11,1,1991
Superbabies: Baby Geniuses 2,27,8,2004
Peeples,10,5,2013
Late for Dinner,20,9,1991
Mad Max,12,4,1979
Renegades,2,6,1989
Whatever It Takes,24,3,2000
Suspect Zero,27,8,2004
Street Fighter: The Legend of Chun-Li,26,2,2009
To Catch a Thief,5,8,1955
The Seeker: The Dark Is Rising,5,10,2007
Before and After,23,2,1996
Body Double,26,10,1984
Scandal,3,3,1989
Ratchet &amp; Clank,29,4,2016
The Man with One Red Shoe,19,7,1985
Chinatown,20,6,1974
Stick,26,4,1985
The Quiet Ones,10,4,2014
Troop Beverly Hills,24,3,1989
Serenity,25,1,2019
Blue Velvet,1,1,1986
Leprechaun,8,1,1993
High Spirits,18,11,1988
The Lost City of Z,19,5,2017
An Unfinished Life,16,9,2005
Tall Tale,24,3,1995
The Blob,5,8,1988
Christopher Columbus: The Discovery,21,8,1992
Cry-Baby,6,4,1990
The Cooler,16,1,2004
Deadly Blessing,14,8,1981
The Love Letter,21,5,1999
Night Crossing,5,2,1982
Machete Kills,25,10,2013
The Meteor Man,6,8,1993
The Texas Chainsaw Massacre 2,22,8,1986
Woo,8,5,1998
Aspen Extreme,22,1,1993
The Death of Stalin,20,10,2017
Strange Days,13,10,1995
Firestorm,9,1,1998
Anna,20,9,2019
The Return,10,11,2006
Enemies: A Love Story,13,12,1989
Bad Words,28,3,2014
In Bruges,29,2,2008
The Best of Times,31,1,1986
Vampire Academy,7,2,2014
Slither,31,3,2006
Dead Calm,25,5,1989
Hoop Dreams,14,10,1994
The Night Listener,4,8,2006
Tupac: Resurrection,14,11,2003
The Jerky Boys,3,2,1995
Into the Night,22,2,1985
Over Her Dead Body,1,2,2008
Cidade de Deus,30,8,2002
While We&apos;re Young,3,4,2015
Mortdecai,23,1,2015
Hackers,15,9,1995
The Sugarland Express,29,5,1974
Proof,7,10,2005
Paranoia,6,9,2013
Bones,24,10,2001
Alice,10,1,1991
The Crucible,27,11,1996
The Squid and the Whale,16,12,2005
Witchboard,13,3,1987
Mid90s,26,10,2018
Gold,27,1,2017
She&apos;s Gotta Have It,8,8,1986
North,22,7,1994
The Longest Yard,30,8,1974
El orfanato,11,10,2007
The Hoax,20,4,2007
Mujeres al borde de un ataque de &quot;nervios&quot;,25,3,1988
Screwed,12,5,2000
Shag,12,8,1988
Relentless,30,8,1989
Grandma,18,9,2015
Children of the Corn II: The Final Sacrifice,29,1,1993
Our Brand Is Crisis,30,10,2015
The Vikings,28,6,1958
Red Sonja,3,7,1985
Nine 1/2 Weeks,21,2,1986
Loving Vincent,6,10,2017
The Great Gatsby,29,3,1974
The Mambo Kings,28,2,1992
Bãhubali: The Beginning,10,7,2015
Fortress,21,1,1993
Me and Earl and the Dying Girl,1,7,2015
Running with Scissors,27,10,2006
Thunderbirds,23,7,2004
Conviction,5,11,2010
Boy Erased,8,11,2018
Nightmares,9,9,1983
City Island,30,4,2010
The Big Sleep,31,8,1946
I Dreamed of Africa,5,5,2000
Lost &amp; Found,23,4,1999
The Razor&apos;s Edge,19,10,1984
Strange Wilderness,1,2,2008
Man cheng jin dai huang jin jia,16,3,2007
Femme Fatale,30,4,2002
Wings,5,1,1929
Same Kind of Different as Me,20,10,2017
Little Boy,24,4,2015
Mac and Me,12,8,1988
The Soldier,27,8,1982
Motel Hell,24,10,1980
It&apos;s Kind of a Funny Story,8,10,2010
Post Grad,13,11,2009
Cantinflas,18,9,2014
Article 99,13,3,1992
Rocky II,15,6,1979
Gods and Monsters,4,11,1998
El secreto de sus ojos,13,8,2009
All Is Lost,25,10,2013
Barton Fink,21,8,1991
Chained Heat,27,5,1983
Lowriders,28,4,2017
UHF,21,7,1989
Mystery Date,16,8,1991
Rabbit-Proof Fence,21,2,2002
Maudie,4,8,2017
Un long dimanche de fiançailles,27,10,2004
Nirgendwo in Afrika,27,12,2001
Night and the City,23,10,1992
The Sessions,16,11,2012
Chasing Mavericks,26,10,2012
Hitchcock,14,12,2012
The Walking Dead,24,2,1995
A Fine Mess,8,8,1986
Deuces Wild,3,5,2002
The Last Legion,14,9,2007
The Perfect Holiday,12,12,2007
Stanley &amp; Iris,9,2,1990
The Bling Ring,12,6,2013
Before Sunset,30,7,2004
Real Women Have Curves,8,11,2002
The Hitcher,21,2,1986
Heaven &amp; Earth,7,1,1994
Day of the Dead,19,7,1985
Double Indemnity,6,7,1944
Mongol,20,9,2007
Eight Men Out,29,6,1989
Who&apos;s Your Caddy?,27,7,2007
Under Fire,21,10,1983
RocknRolla,5,9,2008
Mary Reilly,23,2,1996
A Dangerous Method,10,11,2011
El crimen del Padre Amaro,16,8,2002
One Eight Seven,30,7,1997
Kin,14,9,2018
Hardware,5,10,1990
Slums of Beverly Hills,11,9,1998
Die Fälscher,22,3,2007
Three of Hearts,30,4,1993
A Scanner Darkly,28,7,2006
Der Untergang,16,9,2004
Heartbreak Hotel,30,9,1988
Say It Isn&apos;t So,23,3,2001
Rescue Dawn,27,7,2007
Kundun,16,1,1998
Wind,11,9,1992
Before Sunrise,27,1,1995
Split Second,5,6,1992
Delirious,9,8,1991
Cannery Row,12,2,1982
Angels and Insects,8,12,1995
Whatever Works,1,7,2009
Made,31,8,2001
Once Upon a Time in America,1,6,1984
Danny Collins,12,6,2015
Monkey Shines,29,7,1988
Top Dog,28,4,1995
The Truth About Charlie,25,10,2002
The Hotel New Hampshire,9,3,1984
Margin Call,29,9,2011
Gossip,21,4,2000
Grind,15,8,2003
The Company You Keep,26,4,2013
Butch and Sundance: The Early Days,24,8,1979
The World&apos;s Fastest Indian,13,10,2005
Vamp,18,7,1986
Jakob the Liar,24,9,1999
The Sun Is Also a Star,17,5,2019
Innocent Blood,25,9,1992
Let It Ride,18,8,1989
Club Dread,27,2,2004
"Kiss Me, Stupid",22,12,1964
Solo,23,8,1996
Just Visiting,6,4,2001
Incarnate,2,12,2016
Bud Abbott Lou Costello Meet Frankenstein,15,6,1948
King David,29,3,1985
Slackers,1,2,2002
Dutch,19,7,1991
"Se, jie",24,9,2007
Longtime Companion,1,5,1990
Love in the Time of Cholera,16,11,2007
The Other Side of Heaven,12,4,2002
Joe&apos;s Apartment,26,7,1996
If Lucy Fell,8,3,1996
C.H.U.D.,31,8,1984
Mindhunters,4,6,2004
Honkytonk Man,15,12,1982
Curse of the Pink Panther,12,8,1983
Bound by Honor,30,4,1993
An American in Paris,11,11,1951
Swingers,11,4,1997
The Mark of Zorro,8,11,1940
Rebecca,12,4,1940
12 Angry Men,10,4,1957
Solitary Man,25,6,2010
Mrs. Soffel,8,2,1985
Until September,21,9,1984
"Jeff, Who Lives at Home",30,3,2012
Mr. Nanny,8,10,1993
Men with Brooms,22,11,2002
Kiss Kiss Bang Bang,18,11,2005
The Meddler,3,6,2016
A Life Less Ordinary,24,10,1997
Enemy Mine,20,12,1985
Glitter,21,9,2001
Man Trouble,17,7,1992
Restoration,2,2,1996
Serbuan maut,23,3,2012
Kama Sutra: A Tale of Love,28,2,1997
Witless Protection,22,2,2008
Ran,1,6,1985
Godzilla 1985,26,7,1985
Gloria,22,1,1999
Whipped,1,9,2000
Willy Wonka &amp; the Chocolate Factory,30,6,1971
American Ninja 2: The Confrontation,1,5,1987
Idle Hands,30,4,1999
King&apos;s Ransom,22,4,2005
Mountains of the Moon,23,2,1990
My Old Lady,21,11,2014
Safety Not Guaranteed,15,6,2012
The Pebble and the Penguin,12,4,1995
Fluke,2,6,1995
Flashpoint,31,8,1984
The Man Who Knew Infinity,8,4,2016
Top Hat,6,9,1935
Me and You and Everyone We Know,5,8,2005
L&apos;auberge espagnole,19,6,2002
A United Kingdom,25,11,2016
The Manhattan Project,13,6,1986
Warlock: The Armageddon,24,9,1993
The Assassination of Jesse James by the Coward Robert Ford,19,10,2007
The Assassin&apos;s Code,3,5,2019
Morgan,2,9,2016
The Keep,16,2,1984
Friend Request,12,2,2016
Vera Drake,7,1,2005
White Man&apos;s Burden,1,12,1995
A Dry White Season,20,9,1989
The Monster Squad,14,8,1987
Mannequin: On the Move,17,5,1991
The Merchant of Venice,3,12,2004
Table 19,3,3,2017
Les choristes,17,3,2004
Stay,21,10,2005
Caché,5,10,2005
Scouts Guide to the Zombie Apocalypse,30,10,2015
Rules Don&apos;t Apply,23,11,2016
Cabin Boy,7,1,1994
New Jersey Drive,19,4,1995
