Movie,Date,Month,Year
The Bodyguard,25,11,1992
Sully,9,9,2016
50 First Dates,13,2,2004
Enchanted,7,2,2008
Speed,10,6,1994
The Bourne Identity,14,6,2002
The Hunt for Red October,2,3,1990
The Good Dinosaur,25,11,2015
G.I. Joe: Retaliation,5,4,2013
Nutty Professor II: The Klumps,28,7,2000
"Good Morning, Vietnam",15,1,1988
Rango,4,3,2011
City Slickers,7,6,1991
Wayne&apos;s World,14,2,1992
Peter Rabbit,16,2,2018
Traffic,5,1,2001
Mamma Mia! Here We Go Again,20,7,2018
Unbroken,20,2,2015
Something&apos;s Gotta Give,12,12,2003
Remember the Titans,29,9,2000
District 9,13,8,2009
You&apos;ve Got Mail,18,12,1998
Clear and Present Danger,3,8,1994
Creed II,21,11,2018
The Towering Inferno,4,7,2005
Ghost Rider,30,3,2007
Notting Hill,21,5,1999
Green Lantern,17,6,2011
The Butler,16,8,2013
8 Mile,8,11,2002
The Wolf of Wall Street,11,1,2014
S.W.A.T.,8,8,2003
Ocean&apos;s Thirteen,8,6,2007
A Time to Kill,24,7,1996
Jackass 3D,15,10,2010
Crocodile Dundee II,20,5,1988
The 40 Year Old Virgin,19,8,2005
Star Trek IV: The Voyage Home,26,11,1986
Creed,25,11,2015
Bedtime Stories,25,12,2008
Trainwreck,17,7,2015
Freaky Friday,6,8,2003
Double Jeopardy,24,9,1999
The Grudge,22,10,2004
Valentine&apos;s Day,26,2,2010
Godzilla: King of the Monsters,31,5,2019
Spy,22,5,2015
Tropic Thunder,13,8,2008
Fun with Dick and Jane,21,12,2005
Dreamgirls,16,2,2007
Glass,18,1,2019
Dick Tracy,15,6,1990
Journey 2: The Mysterious Island,10,2,2012
Paranormal Activity 3,21,10,2011
The Mule,14,12,2018
Daddy Day Care,9,5,2003
The Princess and the Frog,8,1,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,10,12,2010
Road to Perdition,12,7,2002
Phenomenon,3,7,1996
Pitch Perfect 3,22,12,2017
The Graduate,21,12,1967
George of the Jungle,16,7,1997
Robin Hood,21,5,2010
Interview with the Vampire: The Vampire Chronicles,11,11,1994
How to Lose a Guy in 10 Days,7,2,2003
The Italian Job,25,3,2004
In the Line of Fire,9,7,1993
Due Date,5,11,2010
Godzilla vs. Kong,26,3,2021
Arrival,6,1,2017
Vanilla Sky,14,12,2001
Charlie&apos;s Angels: Full Throttle,5,11,2003
Every Which Way but Loose,20,12,1978
Contact,11,7,1997
The Pelican Brief,17,12,1993
Collateral,6,8,2004
Sleepy Hollow,19,11,1999
Rampage,13,4,2018
Eagle Eye,26,9,2008
The Lego Movie 2: The Second Part,8,2,2019
The Cat in the Hat,21,11,2003
Unforgiven,7,8,1992
Noah,28,3,2014
Con Air,6,6,1997
The Prince of Egypt,16,12,1998
Se7en,22,9,1995
Million Dollar Baby,28,1,2005
Unbreakable,22,11,2000
The Princess Diaries 2: Royal Engagement,3,12,2004
Sex and the City 2,27,5,2010
Norbit,27,4,2007
Zero Dark Thirty,1,3,2013
Cold Mountain,25,12,2003
Rocketman,14,6,2019
Dead Poets Society,9,6,1989
Panic Room,29,3,2002
Legally Blonde,13,7,2001
The Others,10,8,2001
Downton Abbey,13,9,2019
Arthur,17,7,1981
The Social Network,1,10,2010
Schindler&apos;s List,4,2,1994
Public Enemies,1,7,2009
Yes Man,19,12,2008
Inspector Gadget,23,7,1999
Sausage Party,12,8,2016
Meet the Robinsons,30,3,2007
Olympus Has Fallen,12,4,2013
Christopher Robin,3,8,2018
Date Night,9,4,2010
The Scorpion King,19,4,2002
The Green Hornet,14,1,2011
High School Musical 3: Senior Year,20,11,2008
The Game Plan,28,9,2007
Antz,2,10,1998
Save the Last Dance,12,1,2001
Prince of Persia: The Sands of Time,4,6,2010
The Karate Kid,22,6,1984
Stepmom,25,12,1998
The Imitation Game,14,11,2014
Ride Along 2,22,1,2016
Back to School,13,6,1986
Crimson Tide,12,5,1995
The Haunting,23,7,1999
Think Like a Man,20,4,2012
Kindergarten Cop,21,12,1990
Heaven Is for Real,16,4,2014
Star Trek: First Contact,22,11,1996
Miss Peregrine&apos;s Home for Peculiar Children,30,9,2016
Fury,31,10,2014
Spy Kids 2: Island of Lost Dreams,7,8,2002
Alvin and the Chipmunks: The Road Chip,8,1,2016
Annie,26,12,2014
Out of Africa,20,12,1985
The Accountant,14,10,2016
Presumed Innocent,27,7,1990
The War of the Roses,8,12,1989
The Naked Gun 2½: The Smell of Fear,28,6,1991
Saw II,28,10,2005
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,18,7,1998
Paranormal Activity 2,22,10,2010
Are We There Yet?,21,1,2005
Up in the Air,23,12,2009
Monster-in-Law,13,5,2005
Charlotte&apos;s Web,7,12,2006
Die Hard,20,7,1988
Disclosure,9,12,1994
Valkyrie,25,12,2008
Brokeback Mountain,6,1,2006
Patriot Games,5,6,1992
Saving Mr. Banks,7,3,2014
Under Siege,9,10,1992
Apocalypse Now,15,8,1979
I Can Only Imagine,16,3,2018
Immortals,11,11,2011
Battle: Los Angeles,11,3,2011
The School of Rock,10,1,2004
Days of Thunder,27,6,1990
Goosebumps,16,10,2015
Cloverfield,13,2,2008
Jack Reacher,21,12,2012
The Mummy,9,6,2017
Jumper,14,2,2008
Disturbia,3,8,2007
Saw III,27,10,2006
Zookeeper,23,9,2011
AVP: Alien vs. Predator,13,8,2004
Fiddler on the Roof,3,11,1971
What Happens in Vegas,9,5,2008
Hustlers,13,9,2019
The Texas Chainsaw Massacre,17,10,2003
The Wedding Singer,13,2,1998
Footloose,17,2,1984
We Were Soldiers,1,3,2002
Romancing the Stone,30,3,1984
Training Day,5,10,2001
Father of the Bride Part II,8,12,1995
Poltergeist,4,6,1982
27 Dresses,18,4,2008
Limitless,18,3,2011
Dolittle,25,1,2020
Alice Through the Looking Glass,27,5,2016
The A-Team,18,6,2010
U-571,21,4,2000
Where the Wild Things Are,16,10,2009
Parental Guidance,18,1,2013
La marche de l&apos;empereur,26,1,2005
The Adventures of Tintin,26,10,2011
Annabelle Comes Home,26,6,2019
No Country for Old Men,11,4,2008
Alien: Covenant,12,5,2017
Six Days Seven Nights,12,6,1998
Ben-Hur,18,11,1959
The Prince of Tides,25,12,1991
Ladder 49,14,3,2005
Four Brothers,1,7,2005
Star Trek VI: The Undiscovered Country,6,12,1991
Eragon,14,12,2006
Coraline,6,2,2009
The Exorcism of Emily Rose,9,9,2005
The Nightmare Before Christmas,29,10,1993
Ray,29,10,2004
Garfield,11,6,2004
The Horse Whisperer,15,5,1998
This Is It,28,10,2009
The Bridges of Madison County,2,6,1995
Chocolat,19,1,2001
Bridget Jones&apos;s Diary,13,4,2001
Galaxy Quest,25,12,1999
Stargate,28,10,1994
Ruthless People,27,6,1986
Mama,18,1,2013
RV,28,4,2006
John Q,15,2,2002
The Purge: Anarchy,7,11,2014
My Fair Lady,25,12,1964
1408,22,6,2007
Get Shorty,20,10,1995
Fred Claus,9,11,2007
10 Cloverfield Lane,15,4,2016
