Movie_Title,ListOfCertificate
The A-Team,"TV-14,PG-13"
The Descendants,R
The Haunting,"TV-14,PG-13"
The 40-Year-Old Virgin,"TV-14,R"
How to Lose a Guy in 10 Days,PG-13
Lee Daniels' The Butler,PG-13
Hero,"TV-14,PG-13"
Alien vs. Predator,PG-13
Paranormal Activity 2,R
Baywatch,R
War Horse,PG-13
Flubber,PG
Double Jeopardy,"TV-14,R"
Dante's Peak,PG-13
Patriot Games,"R,TV-14"
Scary Movie 4,"TV-14,PG-13"
Along Came Polly,PG-13
Flushed Away,"TV-G,TV-PG,PG"
Brokeback Mountain,"TV-MA,R"
He's Just Not That Into You,PG-13
City Slickers,PG-13
Eagle Eye,PG-13
The Dictator,R
The League of Extraordinary Gentlemen,"TV-14,PG-13"
Daredevil,"PG-13,TV-14,R"
Allegiant,PG-13
Abominable,PG
Deja Vu,PG-13
Dangerous Minds,R
The Post,PG-13
Hacksaw Ridge,R
The Scorpion King,PG-13
Daddy's Home 2,PG-13
Sweet Home Alabama,"TV-14,TV-PG,PG-13"
Scooby-Doo 2: Monsters Unleashed,"TV-G,TV-PG,PG"
Road to Perdition,R
Hot Shots!,PG-13
Cliff Walkers,
The First Wives Club,"TV-PG,PG"
Kill Bill: Vol. 1,"R,TV-14,TV-MA"
From Vegas to Macau III,
While You Were Sleeping,PG
The Bridges of Madison County,PG-13
The Monkey King Havoc in Heavens Palace,
The Haunted Mansion,PG
The Man in the Iron Mask,PG-13
Cape Fear,"TV-14,R"
Maverick,PG
Mirror Mirror,PG
Paul Blart: Mall Cop,"PG,PG-13"
Storks,"TV-G,PG"
Wayne's World,"TV-PG,PG-13"
Stand by Me Doraemon,
Poseidon,PG-13
102 Dalmatians,G
Knowing,PG-13
Jupiter Ascending,PG-13
Bad Moms,R
Snow White and the Seven Dwarfs,"TV-G,Approved,G"
Hop,"TV-G,TV-PG,PG"
The Birdcage,R
Inside Man,"TV-14,R"
Pitch Perfect 3,PG-13
Hugo,PG
Moulin Rouge!,PG-13
Watchmen,"R,R,R"
The Waterboy,PG-13
Atlantis: The Lost Empire,"TV-PG,PG"
The Final Destination,"TV-14,R"
The Jungle Book 2,G
Jian Bing Man,
The Horse Whisperer,PG-13
The Grudge,PG-13
Walk the Line,PG-13
I Now Pronounce You Chuck & Larry,"PG-13,R"
Mr. Popper's Penguins,PG
Heat,R
12 Years a Slave,"TV-14,R"
Jaws 2,"PG,TV-PG"
The Secret Life of Walter Mitty,PG
Rambo III,"TV-14,TV-14,R"
Project Gutenberg,
Breakup Buddies,
The White Storm 2: Drug Lords,
The X Files,PG-13
Outbreak,R
Hollow Man,R
The Santa Clause,PG
The Equalizer 2,R
The Addams Family,"PG-13,TV-14"
Cheaper by the Dozen,"TV-PG,PG"
The Longest Yard,"TV-14,PG-13"
Sheep Without a Shepherd,
The Lego Movie 2: The Second Part,PG
The Equalizer,"TV-14,R"
Paranormal Activity,R
The Monkey King 2,
The Sum of All Fears,PG-13
Weathering with You,"TV-PG,TV-14,PG-13"
Gangs of New York,R
Gnomeo & Juliet,"TV-G,TV-PG,G"
The Intern,PG-13
The BFG,PG
Wallace & Gromit: The Curse of the Were-Rabbit,"TV-G,TV-PG,G"
The Shape of Water,R
Rocketman,R
The Pelican Brief,PG-13
Tropic Thunder,"TV-14,R,R"
The Vow,PG-13
Anger Management,"TV-14,R,PG-13"
The Other Woman,PG-13
Stargate,PG-13
Chinese Doctors,
Panic Room,R
Spy Kids 3-D: Game Over,"TV-PG,TV-G,PG"
Smurfs: The Lost Village,"TV-G,PG"
Jack the Giant Slayer,PG-13
Beowulf,PG-13
Christopher Robin,PG
The Impossible,PG-13
Lost in Thailand,
50 First Dates,"TV-PG,PG-13,R"
The Pacifier,"TV-Y7,TV-PG,PG"
The Island,
City of Angels,PG-13
Total Recall,PG-13
Shock Wave 2,
RED,PG-13
Two Weeks Notice,PG-13
Cats & Dogs,PG
Open Season,"TV-G,TV-Y7,TV-Y,TV-PG,PG"
Percy Jackson: Sea of Monsters,PG
The Hunt for Red October,PG
Valkyrie,PG-13
21 Jump Street,"TV-14,R"
Straight Outta Compton,"TV-MA,R"
Birds of Prey,R
Kindergarten Cop,"PG-13,TV-14"
The Conjuring: The Devil Made Me Do It,R
Garfield,"TV-G,TV-Y,TV-Y7,TV-PG,PG"
Need for Speed,PG-13
Patch Adams,PG-13
Teenage Mutant Ninja Turtles,PG
Vanilla Sky,R
Everest,PG-13
Arrival,PG-13
Yogi Bear,PG
The Addams Family,PG
King Arthur,PG-13
Hairspray,PG
Eat Pray Love,"PG-13,R"
You Don't Mess with the Zohan,PG-13
Fun with Dick and Jane,PG-13
Ponyo,G
A Dog's Purpose,PG
White House Down,"TV-14,PG-13"
JFK,"TV-14,R,R"
Raging Fire,
Journey to the West,PG-13
The Break-Up,PG-13
The Holiday,PG-13
London Has Fallen,R
Philadelphia,"TV-14,PG-13"
The Fast and the Furious,"TV-PG,PG-13"
Sleepy Hollow,R
The Jungle Book,"Approved,G"
S.W.A.T.,PG-13
Safe House,"TV-14,R"
Paranormal Activity 3,R
Traffic,R
Tomorrowland,PG
Me Before You,PG-13
Red Dragon,"TV-14,TV-14,R"
Us and Them,TV-MA
Pulp Fiction,"TV-14,NC-17,R"
Horrible Bosses,"TV-14,R"
Disclosure,"TV-14,R"
Smallfoot,PG
The Aviator,PG-13
Public Enemies,R
The Bourne Identity,"TV-14,PG-13"
The Expendables 3,"TV-14,PG-13"
Creed II,PG-13
Dirty Dancing,"TV-14,PG-13"
Just Go with It,PG-13
The Sorcerer's Apprentice,PG
Ghostbusters II,"TV-PG,PG"
Dracula,R
The Patriot,R
Vertical Limit,PG-13
Ted 2,"TV-MA,R"
The Croods: A New Age,PG
One Hundred and One Dalmatians,G
Clear and Present Danger,PG-13
A Little Red Flower,
Bad Teacher,"TV-MA,R"
Little Women,PG
Valentine's Day,PG-13
Twins,"PG,TV-PG"
The Help,PG-13
Dracula Untold,PG-13
Central Intelligence,"TV-MA,TV-14,PG-13"
Million Dollar Baby,"TV-14,TV-PG,PG-13"
Kingdom of Heaven,R
The Emoji Movie,PG
Jack Reacher,PG-13
The Prince of Egypt,PG
Captain Phillips,PG-13
Jungle Cruise,PG-13
The Terminal,PG-13
It's Complicated,R
What Happens in Vegas,PG-13
Knocked Up,"Approved,TV-MA,R"
Green Lantern,"TV-14,PG-13"
Scary Movie 3,"TV-14,PG-13"
Inferno,PG-13
Collateral,R
Presumed Innocent,"TV-14,R"
Geostorm,PG-13
Wild Wild West,PG-13
"My Country, My Parents",
Non-Stop,PG-13
"Honey, I Shrunk the Kids",PG
Interview with the Vampire: The Vampire Chronicles,R
Fahrenheit 9/11,R
Flightplan,PG-13
Yes Man,"TV-14,PG-13"
Con Air,"TV-14,R"
Elf,"TV-PG,TV-G,PG"
Better Days,
The Social Network,"TV-14,PG-13,TV-PG"
Jumper,PG-13
Good Will Hunting,R
Chicken Run,"G,TV-PG"
Ford v Ferrari,PG-13
Valerian and the City of a Thousand Planets,PG-13
Hansel & Gretel: Witch Hunters,R
Percy Jackson & the Olympians: The Lightning Thief,PG
Immortals,R
Baby Driver,"TV-MA,R"
Taken,"TV-14,PG-13"
Youth,
Lethal Weapon 2,"TV-14,TV-14,R"
Out of Africa,PG
The Green Hornet,"TV-14,PG-13"
Ghost Rider,PG-13
Sleepless in Seattle,"TV-PG,PG"
Ghostbusters,PG-13
Life Is Beautiful,PG-13
Paddington 2,PG
Constantine,"TV-14,R"
Get Smart,PG-13
Space Jam,"TV-PG,PG"
The Heat,R
Goodbye Mr. Loser,
Annabelle Comes Home,R
The English Patient,R
Sister Act,"TV-14,PG"
American Wedding,R
Juno,PG-13
The Girl with the Dragon Tattoo,R
Mr. Bean's Holiday,G
Argo,"R,R"
The Day the Earth Stood Still,PG-13
Cruella,PG-13
American Pie,"R,TV-MA"
The Imitation Game,PG-13
American Reunion,R
Alvin and the Chipmunks: The Road Chip,PG
Big Daddy,"TV-14,PG-13"
Dead Poets Society,PG
A.I. Artificial Intelligence,"TV-14,PG-13"
Hidden Figures,PG
Saturday Night Fever,"TV-MA,PG,TV-14,R"
Spy,"TV-14,R"
Howl's Moving Castle,"TV-PG,PG"
Silver Linings Playbook,"TV-14,R"
Gone in 60 Seconds,"TV-14,PG-13,PG-13"
2 Fast 2 Furious,PG-13
Downton Abbey,PG
Gulliver's Travels,PG
Batman & Robin,"TV-PG,PG-13"
Crazy Rich Asians,PG-13
Crocodile Dundee II,PG
Die Hard 2,"TV-14,R"
Resident Evil: Retribution,R
Planes,"TV-G,TV-PG,PG"
Click,PG-13
Sully,PG-13
Legend of Deification,TV-PG
Alien: Covenant,"TV-MA,R"
RoboCop,"TV-14,PG-13"
Eraser,R
Daddy's Home,PG-13
Assassin's Creed,PG-13
Hercules,PG-13
8 Mile,"TV-14,R"
Cloudy with a Chance of Meatballs,"TV-G,TV-PG,TV-PG,PG"
Rush Hour,"TV-14,PG-13"
Journey to the Center of the Earth,PG
After Earth,"TV-14,PG-13"
A Few Good Men,"TV-14,TV-MA,R"
Pixels,"TV-PG,PG-13"
Welcome to the Sticks,
Back to the Future Part III,"TV-PG,PG"
The Bravest,PG-13
Dark Shadows,PG-13
Love Actually,"TV-14,R"
Hulk,PG-13
Dolittle,PG
Teenage Mutant Ninja Turtles: Out of the Shadows,"TV-14,TV-PG,PG-13"
Face/Off,"TV-14,R"
The Godfather,"TV-14,R"
Rango,"TV-PG,PG,TV-14"
Four Weddings and a Funeral,"TV-14,R"
The Peanuts Movie,"TV-G,TV-PG,G"
Grown Ups 2,PG-13
Glass,PG-13
Journey to the West: The Demons Strike Back,PG-13
Dumb and Dumber,"TV-14,PG-13"
Unbreakable,PG-13
The Ring,PG-13
The Blair Witch Project,R
The Mask of Zorro,PG-13
Brother Bear,"TV-PG,G"
You've Got Mail,"TV-PG,TV-G,PG"
American Hustle,"TV-14,R"
Eragon,PG
Bean,"PG-13,TV-PG"
True Grit,PG-13
Enemy of the State,"TV-14,R"
High School Musical 3: Senior Year,"TV-G,G,G"
X-Men: Dark Phoenix,PG-13
Men in Black: International,PG-13
Baahubali 2: The Conclusion,TV-MA
Wild Hogs,"TV-14,PG-13"
Hercules,"TV-PG,G"
Cliffhanger,R
Babe,G
Us,R
Get Out,R
Halloween,R
Pegasus,
Erin Brockovich,"TV-PG,R"
Lost in Hong Kong,
The Village,PG-13
Marley & Me,PG
Annabelle,R
Kung Fu Yoga,
The Full Monty,"TV-MA,R"
Blade Runner 2049,"TV-MA,R"
Rush Hour 3,"TV-14,PG-13"
Parasite,R
Charlie's Angels: Full Throttle,"TV-14,PG-13"
Super 8,PG-13
Something's Gotta Give,"TV-14,PG-13"
Indecent Proposal,R
Mojin: The Lost Legend,
The Princess and the Frog,G
Exodus: Gods and Kings,PG-13
Batman Returns,"TV-PG,PG-13"
Bambi,"Approved,TV-G,G"
Epic,PG
American Gangster,R
"10,000 BC",PG-13
We're the Millers,"TV-14,R,R"
Gran Torino,R
The Silence of the Lambs,"TV-14,R"
The Firm,"TV-14,R"
Grown Ups,"TV-PG,PG-13"
Bad Boys II,"TV-14,R"
Neighbors,"TV-MA,R"
Lilo & Stitch,"TV-PG,TV-G,PG"
Jerry Maguire,"TV-14,TV-14,R"
Cloudy with a Chance of Meatballs 2,"TV-G,TV-PG,PG"
The Nutty Professor,"TV-14,PG-13"
Lara Croft: Tomb Raider,PG-13
The Expendables,"TV-14,R"
Scooby-Doo,"TV-G,PG"
Lincoln,"TV-14,PG-13"
Tomb Raider,PG-13
Mr. Peabody & Sherman,"TV-G,PG"
xXx,"TV-14,PG-13"
Scary Movie,"TV-MA,TV-14,R,TV-14"
The Bourne Legacy,PG-13
Split,PG-13
The Tourist,"PG-13,AO"
Bridget Jones's Diary,R
Turbo,"TV-G,TV-PG,PG"
Paddington,PG
John Carter,PG-13
Lethal Weapon 4,"TV-14,R"
Elysium,R
Oblivion,PG-13
Maze Runner: The Death Cure,PG-13
Bridesmaids,R
American Pie 2,R
Casper,PG
Pitch Perfect 2,PG-13
Wedding Crashers,R
The Green Mile,"TV-14,R"
Divergent,PG-13
Coming to America,R
Shakespeare in Love,R
Pacific Rim: Uprising,PG-13
Sex and the City 2,R
The Bourne Supremacy,PG-13
Salt,"TV-MA,PG-13"
G-Force,"TV-PG,PG"
What Lies Beneath,PG-13
The Departed,R
Doctor Dolittle,PG-13
X-Men,PG-13
Shutter Island,R
Bee Movie,"TV-G,TV-PG,PG"
Ferdinand,"TV-G,TV-PG,PG"
Ghostbusters,"TV-14,TV-PG,PG"
Miss Peregrine's Home for Peculiar Children,PG-13
The Divergent Series: Insurgent,PG-13
Look Who's Talking,"TV-14,PG-13"
Austin Powers in Goldmember,PG-13
Ocean's Eight,"TV-14,PG-13"
A Quiet Place Part II,PG-13
Horton Hears a Who!,"TV-G,TV-PG,G"
My Best Friend's Wedding,PG-13
Real Steel,"TV-PG,PG-13"
Beverly Hills Cop II,"TV-14,R"
Alice Through the Looking Glass,PG
Van Helsing,PG-13
Stuart Little,"PG,TV-G"
Superman,"TV-PG,PG,PG"
Resident Evil: Afterlife,R
Rambo: First Blood Part II,"TV-14,R"
Rocky IV,"TV-PG,PG,PG-13"
Hook,PG
Fantastic 4: Rise of the Silver Surfer,PG
G.I. Joe: The Rise of Cobra,"TV-14,PG-13"
Liar Liar,"TV-14,TV-14,PG-13"
Wrath of the Titans,PG-13
Battleship,"TV-14,PG-13"
Passengers,PG-13
Dangal,TV-PG
A Good Day to Die Hard,"TV-14,R"
Skyscraper,"TV-14,PG-13,TV-MA"
Chicago,"TV-14,PG-13,TV-PG"
Mulan,G
Wonder,PG
Annabelle: Creation,R
Close Encounters of the Third Kind,"TV-MA,PG,PG"
The Blind Side,PG-13
The Pursuit of Happyness,PG-13
Rise of the Guardians,PG
The Ex-File 3: The Return of The Exes,PG-13
The Fault in Our Stars,"TV-PG,PG-13"
Bolt,"PG,PG"
Ransom,"R,R"
Runaway Bride,"TV-PG,PG"
Little Fockers,PG-13
The Lego Batman Movie,PG
Resident Evil: The Final Chapter,R
Knives Out,PG-13
Ocean's Thirteen,"TV-14,PG-13"
Maze Runner: The Scorch Trials,PG-13
Austin Powers: The Spy Who Shagged Me,PG-13
As Good as It Gets,PG-13
The Polar Express,"TV-Y7,TV-Y,TV-G,TV-Y,TV-PG,G"
Air Force One,R
Beverly Hills Cop,"TV-14,R"
A Beautiful Mind,"TV-14,PG-13"
Chicken Little,"TV-Y7,TV-G,G"
The Last Airbender,PG
The Expendables 2,"TV-14,R"
The Proposal,"TV-PG,PG-13"
Sonic the Hedgehog,"TV-PG,PG"
Fatal Attraction,"TV-14,R"
The Conjuring,"TV-14,R"
Inglourious Basterds,R
The Ugly Truth,R
101 Dalmatians,G
Lethal Weapon 3,"TV-14,R"
Green Book,PG-13
Robin Hood,PG-13
The Conjuring 2,R
The Hunchback of Notre Dame,G
Schindler's List,"R,TV-MA"
A Christmas Carol,"TV-PG,PG"
The SpongeBob Movie: Sponge Out of Water,"TV-G,TV-PG,PG"
Taken 3,"TV-14,PG-13"
Megamind,"TV-PG,TV-G,PG"
Se7en,"TV-14,R"
Crazy Alien,
John Wick: Chapter 3 - Parabellum,R
The Devil Wears Prada,PG-13
Black Swan,R
Crocodile Dundee,PG-13
Who Framed Roger Rabbit,"TV-14,TV-PG,TV-G,PG,TV-Y7"
The Perfect Storm,PG-13
Meet the Parents,PG-13
Free Guy,PG-13
The Good Dinosaur,"TV-G,TV-PG,PG"
22 Jump Street,"TV-14,R"
Back to the Future Part II,"TV-PG,PG"
Tomorrow Never Dies,PG-13
Indiana Jones and the Temple of Doom,PG
Fantastic Four,"TV-PG,PG-13"
The Great Wall,PG-13
Never Say Die,
The Rock,"TV-14,R"
Now You See Me 2,PG-13
Journey 2: The Mysterious Island,PG
The Curious Case of Benjamin Button,PG-13
Prince of Persia: The Sands of Time,PG-13
Batman Forever,"TV-14,PG-13"
300: Rise of an Empire,R
A Quiet Place,PG-13
Over the Hedge,"TV-G,TV-Y7,TV-PG,PG"
Wanted,R
The Flintstones,PG
Enchanted,PG
Alvin and the Chipmunks: Chipwrecked,"TV-PG,G"
Star Trek Beyond,PG-13
xXx: Return of Xander Cage,PG-13
How the Grinch Stole Christmas,"TV-PG,PG"
Pocahontas,"TV-G,G,G"
Trolls,"TV-G,TV-PG,PG"
The Smurfs 2,"TV-G,PG-13,PG"
The Lorax,"TV-G,TV-PG,PG"
The Maze Runner,PG-13
National Treasure,"TV-PG,TV-14,PG"
Rush Hour 2,"TV-14,PG-13"
Deep Impact,PG-13
Speed,"TV-14,R"
Mary Poppins Returns,PG
Dinosaur,PG
Peter Rabbit,PG
The Mask,"PG-13,PG,TV-PG,TV-14"
The Angry Birds Movie,"TV-PG,PG"
Hannibal,R
Catch Me If You Can,PG-13
Now You See Me,PG-13
The Karate Kid,"TV-PG,PG"
GoldenEye,"TV-14,PG-13"
Noah,PG-13
X-Men: First Class,"TV-14,PG-13"
The World Is Not Enough,PG-13
Fast & Furious,PG-13
Monster Hunt 2,
Planet of the Apes,PG-13
The Hangover Part III,"TV-14,R"
Night at the Museum: Secret of the Tomb,PG
A Bug's Life,"TV-G,G"
Ocean's Twelve,"TV-14,PG-13"
Tenet,PG-13
Notting Hill,PG-13
Alvin and the Chipmunks,"TV-G,TV-PG,PG"
The Nun,R
Shazam!,"TV-PG,PG-13"
Eternals,PG-13
Hello Mr. Billionaire,
Die Hard with a Vengeance,"TV-MA,TV-14,R"
Jurassic Park III,PG-13
My Big Fat Greek Wedding,PG
Gone Girl,R
There's Something About Mary,R
Fifty Shades Freed,R
Terminator Salvation,"TV-14,PG-13,R"
Hitch,"TV-MA,TV-14,PG-13"
Edge of Tomorrow,PG-13
X-Men Origins: Wolverine,"TV-14,PG-13"
Penguins of Madagascar,"TV-G,TV-PG,PG"
Captain America: The First Avenger,"TV-PG,PG-13"
The Golden Compass,PG-13
Dune,PG-13
Batman Begins,"TV-14,PG-13"
What Women Want,PG-13
Shark Tale,"TV-PG,PG"
Once Upon a Time... In Hollywood,R
The Adventures of Tintin,PG
Mad Max: Fury Road,"TV-14,R"
Spider-Man: Into the Spider-Verse,PG
Taken 2,PG-13
G.I. Joe: Retaliation,"TV-14,PG-13"
Black Widow,PG-13
Godzilla,PG-13
Slumdog Millionaire,"TV-14,R"
True Lies,R
Back to the Future,"TV-PG,PG"
Monsters vs. Aliens,"TV-PG,PG"
Fifty Shades Darker,R
Cars 3,"TV-G,G"
Happy Feet,"PG,TV-PG"
1917,"TV-MA,R"
Star Trek,PG-13
Ice Age,"TV-PG,PG,TV-Y7,TV-G"
Home,"TV-G,PG"
Godzilla: King of the Monsters,PG-13
Robin Hood: Prince of Thieves,PG-13
Live Free or Die Hard,"TV-14,PG-13"
Independence Day: Resurgence,"TV-MA,PG-13"
Monster Hunt,"TV-Y7,TV-PG"
Indiana Jones and the Raiders of the Lost Ark,"TV-14,PG"
The Wolf of Wall Street,"TV-MA,TV-14,R"
Solo: A Star Wars Story,PG-13
Superman Returns,"TV-PG,PG-13"
Toy Story,"TV-G,TV-PG,G"
Grease,"TV-14,TV-PG,PG,PG-13"
Mission: Impossible III,PG-13
TRON: Legacy,PG
Snow White and the Huntsman,PG-13
Mamma Mia! Here We Go Again,PG-13
Gone with the Wind,"Passed,TV-PG,G,PG,Approved"
The Mummy: Tomb of the Dragon Emperor,PG-13
Alita: Battle Angel,PG-13
Prometheus,"TV-14,R"
Twilight,PG-13
Signs,"TV-PG,PG-13"
X2: X-Men United,"TV-G,TV-14,PG-13"
Ice Age: Collision Course,"TV-G,TV-PG,PG"
Kingsman: The Golden Circle,R
The Mummy,"TV-14,PG-13"
Pacific Rim,PG-13
The Bodyguard,"TV-14,R"
Kingsman: The Secret Service,"TV-14,R"
Batman,"TV-PG,TV-14,PG-13"
The Wolverine,"TV-14,PG-13"
Night at the Museum: Battle of the Smithsonian,PG
The Chronicles of Narnia: The Voyage of the Dawn Treader,PG
The Mummy,PG-13
Jason Bourne,PG-13
The Captain,
The Chronicles of Narnia: Prince Caspian,PG
Sex and the City,R
Django Unchained,R
Bad Boys for Life,R
Beauty and the Beast,"TV-G,G,G"
"My People, My Homeland",
Dances with Wolves,"TV-PG,PG-13,PG-13"
The Intouchables,"TV-14,R,TV-PG"
The Matrix Revolutions,R
The King's Speech,"TV-14,R,PG-13"
Cast Away,PG-13
Shang-Chi and the Legend of the Ten Rings,PG-13
Die Another Day,"PG-13,PG-13"
The Secret Life of Pets 2,PG
Rampage,PG-13
Pokémon Detective Pikachu,"TV-PG,TV-PG,PG"
A Star Is Born,"R,R"
Terminator 3: Rise of the Machines,"TV-14,TV-MA,R"
The Greatest Showman,"TV-PG,PG"
Terminator Genisys,"TV-14,PG-13"
The Exorcist,"TV-14,R,R"
Mrs. Doubtfire,"TV-PG,PG-13"
Warcraft,PG-13
Les Misérables,PG-13
Alvin and the Chipmunks: The Squeakquel,"TV-PG,TV-G,PG"
The Mummy Returns,PG-13
The Bourne Ultimatum,PG-13
La La Land,PG-13
Men in Black II,PG-13
Tarzan,G
Ocean's Eleven,"TV-14,PG-13"
"My People, My Country",
Thor,"TV-14,PG-13"
Pearl Harbor,"PG-13,R"
Dying to Survive,
The Last Samurai,R
Demon Slayer: Mugen Train,"R,R"
300,R
National Treasure: Book of Secrets,"TV-PG,PG"
Mission: Impossible,PG-13
Lucy,R
The Eight Hundred,
X-Men: The Last Stand,"TV-G,PG-13"
Pretty Woman,"TV-14,R,R"
Cars,"TV-G,G"
Gladiator,"TV-14,R"
The Matrix,R
Star Trek Into Darkness,PG-13
Godzilla vs. Kong,PG-13
The Lego Movie,"TV-G,TV-PG,PG"
The Hangover,"TV-14,R"
Venom: Let There Be Carnage,PG-13
Bumblebee,PG-13
Wreck-It Ralph,"TV-PG,PG"
Indiana Jones and the Last Crusade,PG-13
Jaws,"PG,TV-PG,TV-14"
Charlie and the Chocolate Factory,"TV-Y7,TV-G,TV-14,TV-PG,PG"
It Chapter Two,R
Star Wars: Episode VI - Return of the Jedi,"TV-PG,PG"
Hotel Transylvania 2,"TV-G,TV-PG,PG"
Home Alone,"TV-PG,PG"
San Andreas,PG-13
Saving Private Ryan,"TV-MA,R"
Teenage Mutant Ninja Turtles,"TV-PG,TV-14,TV-PG,PG-13"
Rise of the Planet of the Apes,PG-13
Mr. & Mrs. Smith,"TV-14,PG-13"
Shrek,"TV-PG,TV-PG,TV-PG,PG"
Rio,"TV-G,TV-G,G,PG,TV-PG"
Angels & Demons,PG-13
Bruce Almighty,PG-13
War for the Planet of the Apes,PG-13
Clash of the Titans,"12,PG-13"
How to Train Your Dragon,"TV-Y7-FV,TV-PG,PG"
Toy Story 2,G
Maleficent: Mistress of Evil,PG
Twister,"TV-14,PG-13"
Troy,R
Oz the Great and Powerful,PG
Aladdin,G
Rio 2,"TV-PG,G"
The Grinch,"TV-PG,PG"
Ghost,"TV-14,PG-13"
WALL·E,"TV-G,G"
Kung Fu Panda 3,PG
Terminator 2: Judgment Day,"TV-14,TV-PG,R"
Ant-Man,"TV-PG,PG-13"
Sherlock Holmes,PG-13
Meet the Fockers,"TV-14,PG-13"
How to Train Your Dragon: The Hidden World,PG
Dunkirk,PG-13
The Boss Baby,"TV-G,PG"
Hotel Transylvania 3: Summer Vacation,PG
Ralph Breaks the Internet,PG
Godzilla,PG-13
The Meg,PG-13
Detective Chinatown 2,R
Mission: Impossible II,"TV-14,PG-13"
The Revenant,R
The Day After Tomorrow,PG-13
American Sniper,"TV-14,R"
Ted,"TV-MA,R"
Armageddon,PG-13
Puss in Boots,"TV-G,TV-PG,PG"
King Kong,PG-13
The Mermaid,R
The Smurfs,"TV-G,TV-PG,PG"
Kong: Skull Island,PG-13
Night at the Museum,PG
Cars 2,"TV-G,G"
Fifty Shades of Grey,"TV-MA,TV-14,R"
"Monsters, Inc.","TV-PG,TV-G,G"
Operation Red Sea,TV-MA
Ready Player One,"TV-PG,PG-13"
Iron Man,"TV-14,PG-13"
Men in Black,PG-13
The Hangover Part II,"TV-14,R"
I Am Legend,"TV-14,PG-13"
The Croods,"TV-G,PG"
Tangled,"TV-G,TV-PG,PG"
Quantum of Solace,PG-13
Madagascar: Escape 2 Africa,"TV-G,TV-PG,PG"
War of the Worlds,"TV-14,PG-13"
Mamma Mia!,"TV-PG,TV-14,PG-13"
The Passion of the Christ,"TV-MA,R"
Transformers: The Last Knight,PG-13
Life of Pi,PG
Casino Royale,PG-13
