Movie_Title,ListOfCertificate
Avengers: Age of Ultron,PG-13
The Lion King,PG
Star Wars: Episode VII - The Force Awakens,PG-13
Avengers: Infinity War,PG-13
Jurassic World,"TV-14,PG-13"
Furious 7,"TV-14,PG-13"
Frozen II,PG
The Avengers,"TV-14,PG-13"
Titanic,"TV-14,PG-13,TV-PG"
Avengers: Endgame,PG-13
Star Wars: Episode III - Revenge of the Sith,"TV-14,PG-13"
Guardians of the Galaxy Vol. 2,PG-13
Inside Out,"TV-G,TV-PG,PG"
The Simpsons Movie,"TV-PG,PG-13,TV-PG,TV-14"
Avatar,"TV-14,PG-13,PG-13"
Star Wars: Episode V - The Empire Strikes Back,"TV-PG,PG"
Brave,"TV-PG,PG"
The Hunger Games: Catching Fire,"TV-14,PG-13"
World War Z,PG-13
Madagascar,"TV-G,TV-PG,PG"
X-Men: Apocalypse,PG-13
Sherlock Holmes: A Game of Shadows,PG-13
Cinderella,"TV-PG,PG"
Despicable Me,"TV-G,TV-Y7,TV-PG,PG,TV-G"
Basic Instinct,"TV-MA,TV-14,R"
"I, Robot",PG-13
Dumbo,PG
Murder on the Orient Express,PG-13
The Fugitive,"PG-13,TV-14"
Rain Man,R
Apollo 13,"PG,PG"
Spirited Away,PG
The Great Gatsby,PG-13
The Legend of Tarzan,PG-13
American Beauty,R
Your Name.,"TV-PG,TV-14,PG,PG"
Top Gun,"TV-PG,PG"
Minority Report,"TV-14,PG-13"
Hotel Transylvania,"TV-G,TV-PG,PG"
Home Alone 2: Lost in New York,"TV-PG,PG"
The Lone Ranger,PG-13
This Is It,PG
Total Recall,"TV-14,R"
Terminator: Dark Fate,R
Knight and Day,PG-13
Robots,PG
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R
The Fifth Element,"TV-PG,PG-13"
The Incredible Hulk,"TV-14,PG-13"
Jumanji,"TV-PG,PG"
The Truman Show,PG
Waterworld,PG-13
Bridget Jones: The Edge of Reason,R
Charlie's Angels,"TV-14,PG-13"
The Little Mermaid,"TV-G,G"
The Others,PG-13
Moonraker,PG
District 9,"TV-MA,R"
Australia,PG-13
A Series of Unfortunate Events,PG
Master and Commander: The Far Side of the World,PG-13
Due Date,"TV-14,R"
Bridget Jones's Baby,R
End of Days,R
Battle Los Angeles,PG-13
Entrapment,PG-13
Fury,R
Miss Congeniality,PG-13
Ace Ventura: When Nature Calls,"TV-14,PG-13"
Bedtime Stories,PG
"Crouching Tiger, Hidden Dragon",PG-13
Braveheart,R
Into the Woods,PG
The Girl on the Train,R
Creed,"TV-PG,PG-13"
Gemini Man,PG-13
Anchorman 2: The Legend Continues,"PG-13,R"
In Time,"Approved,PG-13"
Operation Mekong,
Identity Thief,"TV-14,R"
Amélie,R
The Nutcracker and the Four Realms,PG
Big Momma's House,PG-13
George of the Jungle,PG
The Mule,"TV-14,R"
Cowboys & Aliens,"TV-14,PG-13"
Evan Almighty,PG
Sleeping with the Enemy,"TV-14,R"
The Italian Job,PG-13
Serial (Bad) Weddings,
Dr. Dolittle 2,"TV-PG,PG"
The Bucket List,"TV-14,PG-13"
Looper,R
The Hitman's Bodyguard,R
Ip Man 4: The Finale,"TV-PG,TV-14"
Analyze This,"TV-14,R"
In the Line of Fire,R
Tootsie,"TV-MA,PG"
