Money,Count
271203912453,1161
257268035537,1535
199377563689,2984
191333750413,2168
160628756737,1823
145452690013,740
138259562425,754
114324969365,625
96987409936,1390
78606753606,1205
64273357834,215
57614771596,693
37419144786,603
27052633768,169
24516724097,430
17639492474,255
17530838913,239
16252113465,248
13439081193,239
6974929320,115
1742563943,42
4715774,8
